,year,dew,10_year_rolling_avg
0,1980,23.286757990867578,
1,1981,23.52770167427702,
2,1982,22.7351598173516,
3,1983,23.066789781471222,
4,1984,22.97732115677321,
5,1985,23.27561728395062,
6,1986,23.268340943683413,
7,1987,22.98931623931624,
8,1988,23.21842744383728,
9,1989,22.856481481481485,23.1202
10,1990,23.02190923317684,23.0937
11,1991,22.51409373975746,22.9923
12,1992,23.09098228663446,23.0279
13,1993,23.134246575342466,23.0347
14,1994,22.491476407914764,22.9861
15,1995,23.23957382039574,22.9825
16,1996,23.192471159684278,22.9749
17,1997,22.559817351598173,22.9319
18,1998,24.013546423135466,23.0115
19,1999,23.33607305936073,23.0594
20,2000,23.55388585306618,23.1126
21,2001,23.47747336377473,23.209
22,2002,23.21735159817352,23.2216
23,2003,22.65129375951294,23.1733
24,2004,23.0790831815422,23.2321
25,2005,23.5089802130898,23.259
26,2006,23.10821917808219,23.2506
27,2007,23.200304414003046,23.3146
28,2008,23.763357619914995,23.2896
29,2009,23.65388127853881,23.3214
30,2010,23.284779299847795,23.2945
31,2011,22.42054794520548,23.1888
32,2012,23.188221007893137,23.1859
33,2013,23.36925418569254,23.2577
34,2014,23.203500761035006,23.2701
35,2015,22.688127853881277,23.188
36,2016,24.107771706132365,23.288
37,2017,23.458751902587522,23.3138
38,2018,22.90060882800609,23.2275
39,2019,22.63987823439878,23.1261
40,2020,23.45749848208865,23.1434
41,2021,23.554642313546424,23.2568
42,2022,24.137595129375953,23.3518
43,2023,23.663774733637748,23.3812
0,2024,24.4097,23.5018
1,2025,23.6637,23.5994
2,2026,22.6958,23.4582
3,2027,24.2771,23.54
4,2028,22.9604,23.546
5,2029,23.467,23.6287
6,2030,23.1158,23.5946
7,2031,23.7009,23.6092
8,2032,22.7009,23.4655
9,2033,24.9015,23.5893
10,2034,23.5622,23.5045
11,2035,23.6667,23.5048
12,2036,24.2508,23.6603
13,2037,23.71,23.6036
14,2038,23.8797,23.6956
15,2039,24.1124,23.7601
16,2040,24.7388,23.9224
17,2041,24.7743,24.0297
18,2042,23.4971,24.1094
19,2043,23.9058,24.0098
20,2044,23.8452,24.0381
21,2045,23.5596,24.0274
22,2046,24.1812,24.0204
23,2047,24.367,24.0861
24,2048,24.7036,24.1685
25,2049,25.5699,24.3142
26,2050,24.0968,24.2501
27,2051,23.9766,24.1703
28,2052,25.3985,24.3604
29,2053,23.9837,24.3682
30,2054,24.78,24.4617
31,2055,24.3586,24.5416
32,2056,24.1752,24.541
33,2057,24.9564,24.5999
34,2058,24.5725,24.5868
35,2059,25.8837,24.6182
36,2060,23.9661,24.6051
37,2061,25.0567,24.7131
38,2062,25.7304,24.7463
39,2063,24.901,24.8381
40,2064,25.593,24.9194
41,2065,25.0863,24.9921
42,2066,25.4363,25.1182
43,2067,25.0158,25.1242
44,2068,25.6219,25.2291
45,2069,25.6092,25.2017
46,2070,25.6319,25.3682
47,2071,25.6928,25.4319
48,2072,26.3141,25.4902
49,2073,25.3563,25.5358
50,2074,25.5991,25.5364
51,2075,25.9092,25.6187
52,2076,25.6851,25.6435
53,2077,25.6626,25.7082
54,2078,25.7504,25.7211
55,2079,26.4207,25.8022
56,2080,25.8349,25.8225
