,year,precip,10_year_rolling_avg
0,1980,2360.2442,
1,1981,2670.6576,
2,1982,1505.1786,
3,1983,2081.9618,
4,1984,2738.3232,
5,1985,1593.1642,
6,1986,2957.4236,
7,1987,2982.1632,
8,1988,2861.0306,
9,1989,2261.9208,2401.2068
10,1990,2020.5954,2367.2419
11,1991,1902.4091999999998,2290.4171
12,1992,2760.3196,2415.9312
13,1993,3650.7673999999997,2572.8117
14,1994,2422.9822,2541.2776
15,1995,3085.8714,2690.5483
16,1996,3431.0319999999997,2737.9092
17,1997,1737.8172,2613.4746
18,1998,3197.9616,2647.1677
19,1999,2112.6958,2632.2452
20,2000,2324.2524,2662.6109
21,2001,2179.2691999999997,2690.2969
22,2002,3247.3392,2738.9988
23,2003,2406.142,2614.5363
24,2004,2449.5506,2617.1931
25,2005,2521.839,2560.7899
26,2006,1810.639,2398.7506
27,2007,4459.8336,2670.9522
28,2008,2503.3224,2601.4883
29,2009,2223.2619999999997,2612.5449
30,2010,2884.5002,2668.5697
31,2011,1680.464,2618.6892
32,2012,1651.0508,2459.0604
33,2013,2263.6225999999997,2444.8084
34,2014,2336.5206,2433.5054
35,2015,2133.1936,2394.6409
36,2016,2777.109,2491.2879
37,2017,2206.4472,2265.9492
38,2018,1647.2916,2180.3462
39,2019,1555.3944,2113.5594
40,2020,2930.9822,2118.2076
41,2021,2379.8784,2188.149
42,2022,2199.4622,2242.9902
43,2023,1620.9263999999998,2178.7206
10,2024,2541.95094076822,2199.2636
11,2025,1883.070389660439,2174.2513
12,2026,1816.0821903571289,2078.1486
13,2027,2597.3975694471337,2117.2436
14,2028,1810.1643089634815,2133.5309
15,2029,2196.7041564727588,2197.6619
16,2030,1584.2261548380866,2062.9863
17,2031,1875.6050424572584,2012.5589
18,2032,1513.676659058012,1943.9804
19,2033,3013.6861452079575,2083.2564
20,2034,2124.416349836356,2041.5029
21,2035,2140.55506429022,2067.2514
22,2036,2224.007604334567,2108.0439
23,2037,2005.0909393118145,2048.8132
24,2038,2236.6625375685,2091.4631
25,2039,1764.30949308068,2048.2236
26,2040,2756.530855553843,2165.4541
27,2041,2943.0229294419187,2272.1959
28,2042,1833.2233929472825,2304.1505
29,2043,1816.367477108104,2184.4187
30,2044,1952.719468960806,2167.249
31,2045,1833.0108938097328,2136.4946
32,2046,1912.4769581081528,2105.3415
33,2047,2314.3803253689966,2136.2704
34,2048,2027.5686533595235,2115.361
35,2049,2866.151197573501,2225.5452
36,2050,2331.340610862142,2183.0262
37,2051,1832.7657911518745,2072.0005
38,2052,2974.849511613498,2186.1631
39,2053,2206.7116997023713,2225.1975
40,2054,2014.9907988734212,2231.4246
41,2055,1839.7652904825736,2232.1001
42,2056,1735.7115116177229,2214.4235
43,2057,2109.417023463073,2193.9272
44,2058,1853.0522800465203,2176.4756
45,2059,2865.481916923807,2176.4086
46,2060,1978.0020629411956,2141.0748
47,2061,2151.238622120889,2172.9221
48,2062,2738.032503089016,2149.2404
49,2063,1968.1205816045783,2125.3813
50,2064,2287.701002216665,2152.6523
51,2065,2006.316121260119,2169.3074
52,2066,2355.382566256736,2231.2745
53,2067,1864.4157222760025,2206.7743
54,2068,1864.424316823968,2207.9115
55,2069,1965.9177560543792,2117.9551
56,2070,2472.9341879058356,2167.4483
57,2071,2357.6803421595596,2188.0925
58,2072,2307.8942537189105,2145.0787
59,2073,1865.7939933864873,2134.846
60,2074,2235.28187174266,2129.6041
61,2075,2235.5393908408205,2152.5264
62,2076,2021.2080870640168,2119.109
63,2077,2183.7739474076716,2151.0448
64,2078,2062.4815920725687,2170.8505
65,2079,1875.0059757107335,2161.7594
66,2080,2348.554466215668,2149.3214
