,datetime,tempmax,year,10_year_rolling_avg
0,1980-12-31 00:00:00,38.05555555555556,1980,
1,1981-12-31 00:00:00,36.72222222222222,1981,
2,1982-12-31 00:00:00,39.5,1982,
3,1983-12-31 00:00:00,38.22222222222222,1983,
4,1984-12-31 00:00:00,38.72222222222222,1984,
5,1985-12-31 00:00:00,34.166666666666664,1985,
6,1986-12-31 00:00:00,43.44444444444444,1986,
7,1987-12-31 00:00:00,36.22222222222222,1987,
8,1988-12-31 00:00:00,50.05555555555556,1988,
9,1989-12-31 00:00:00,36.611111111111114,1989,39.1722
10,1990-12-31 00:00:00,40.05555555555556,1990,39.3722
11,1991-12-31 00:00:00,36.72222222222222,1991,39.3722
12,1992-12-31 00:00:00,38.888888888888886,1992,39.3111
13,1993-12-31 00:00:00,37.94444444444444,1993,39.2833
14,1994-12-31 00:00:00,37.388888888888886,1994,39.15
15,1995-12-31 00:00:00,35.72222222222222,1995,39.3056
16,1996-12-31 00:00:00,36.0,1996,38.5611
17,1997-12-31 00:00:00,36.05555555555556,1997,38.5444
18,1998-12-31 00:00:00,39.05555555555556,1998,37.4444
19,1999-12-31 00:00:00,34.72222222222222,1999,37.2556
20,2000-12-31 00:00:00,37.77777777777778,2000,37.0278
21,2001-12-31 00:00:00,34.666666666666664,2001,36.8222
22,2002-12-31 00:00:00,36.55555555555556,2002,36.5889
23,2003-12-31 00:00:00,35.333333333333336,2003,36.3278
24,2004-12-31 00:00:00,38.55555555555556,2004,36.4444
25,2005-12-31 00:00:00,35.111111111111114,2005,36.3833
26,2006-12-31 00:00:00,36.111111111111114,2006,36.3944
27,2007-12-31 00:00:00,36.05555555555556,2007,36.3944
28,2008-12-31 00:00:00,35.05555555555556,2008,35.9944
29,2009-12-31 00:00:00,35.333333333333336,2009,36.0556
30,2010-12-31 00:00:00,35.27777777777778,2010,35.8056
31,2011-12-31 00:00:00,36.0,2011,35.9389
32,2012-12-31 00:00:00,35.94444444444444,2012,35.8778
33,2013-12-31 00:00:00,35.111111111111114,2013,35.8556
