,year,dew
0,1980,23.286757990867578
1,1981,23.52770167427702
2,1982,22.7351598173516
3,1983,23.066789781471222
4,1984,22.97732115677321
5,1985,23.27561728395062
6,1986,23.268340943683413
7,1987,22.98931623931624
8,1988,23.21842744383728
9,1989,22.856481481481485
10,1990,23.02190923317684
11,1991,22.51409373975746
12,1992,23.09098228663446
13,1993,23.134246575342466
14,1994,22.491476407914764
15,1995,23.23957382039574
16,1996,23.192471159684278
17,1997,22.559817351598173
18,1998,24.013546423135466
19,1999,23.33607305936073
20,2000,23.55388585306618
21,2001,23.47747336377473
22,2002,23.21735159817352
23,2003,22.65129375951294
24,2004,23.0790831815422
25,2005,23.5089802130898
26,2006,23.10821917808219
27,2007,23.200304414003046
28,2008,23.763357619914995
29,2009,23.65388127853881
30,2010,23.284779299847795
31,2011,22.42054794520548
32,2012,23.188221007893137
33,2013,23.36925418569254
34,2014,23.203500761035006
35,2015,22.688127853881277
36,2016,24.107771706132365
37,2017,23.458751902587522
38,2018,22.90060882800609
39,2019,22.63987823439878
40,2020,23.45749848208865
41,2021,23.554642313546424
42,2022,24.137595129375953
43,2023,23.663774733637748
