,year,num_days_above_80
0,1980,362
1,1981,359
2,1982,361
3,1983,357
4,1984,352
5,1985,353
6,1986,361
7,1987,361
8,1988,364
9,1989,351
10,1990,328
11,1991,285
12,1992,321
13,1993,362
14,1994,364
15,1995,364
16,1996,364
17,1997,365
18,1998,363
19,1999,361
20,2000,364
21,2001,364
22,2002,365
23,2003,364
24,2004,366
25,2005,364
26,2006,365
27,2007,365
28,2008,363
29,2009,365
30,2010,365
31,2011,364
32,2012,366
33,2013,363
34,2014,360
35,2015,363
36,2016,366
37,2017,365
38,2018,363
39,2019,365
40,2020,366
41,2021,365
42,2022,365
43,2023,365
