,year,precip,10_year_rolling_avg
10,1990,2020.5954,2367.2419
11,1991,1902.4091999999998,2290.4171
12,1992,2760.3196,2415.9312
13,1993,3650.7673999999997,2572.8117
14,1994,2422.9822,2541.2776
15,1995,3085.8714,2690.5483
16,1996,3431.0319999999997,2737.9092
17,1997,1737.8172,2613.4746
18,1998,3197.9616,2647.1677
19,1999,2112.6958,2632.2452
20,2000,2324.2524,2662.6109
21,2001,2179.2691999999997,2690.2969
22,2002,3247.3392,2738.9988
23,2003,2406.142,2614.5363
24,2004,2449.5506,2617.1931
25,2005,2521.839,2560.7899
26,2006,1810.639,2398.7506
27,2007,4459.8336,2670.9522
28,2008,2503.3224,2601.4883
29,2009,2223.2619999999997,2612.5449
30,2010,2884.5002,2668.5697
31,2011,1680.464,2618.6892
32,2012,1651.0508,2459.0604
33,2013,2263.6225999999997,2444.8084
34,2014,2336.5206,2433.5054
35,2015,2133.1936,2394.6409
36,2016,2777.109,2491.2879
37,2017,2206.4472,2265.9492
38,2018,1647.2916,2180.3462
39,2019,1555.3944,2113.5594
40,2020,2930.9822,2118.2076
41,2021,2379.8784,2188.149
42,2022,2199.4622,2242.9902
43,2023,1620.9263999999998,2178.7206
