,datetime,tempmin,year,10_year_rolling_avg
10,1990-12-31,0.055555555555556344,1990,9.71
11,1991-12-31,1.8333333333333317,1991,9.19
12,1992-12-31,1.6666666666666667,1992,8.21
13,1993-12-31,9.055555555555554,1993,7.39
14,1994-12-31,13.444444444444446,1994,7.17
15,1995-12-31,18.555555555555557,1995,8.91
16,1996-12-31,10.222222222222221,1996,7.85
17,1997-12-31,14.666666666666666,1997,8.7
18,1998-12-31,18.666666666666664,1998,9.38
19,1999-12-31,18.833333333333336,1999,10.7
20,2000-12-31,17.555555555555557,2000,12.45
21,2001-12-31,18.666666666666664,2001,14.13
22,2002-12-31,10.666666666666668,2002,15.03
23,2003-12-31,18.555555555555557,2003,15.98
24,2004-12-31,18.111111111111107,2004,16.45
25,2005-12-31,19.055555555555557,2005,16.5
26,2006-12-31,18.666666666666664,2006,17.34
27,2007-12-31,21.055555555555557,2007,17.98
28,2008-12-31,18.333333333333332,2008,17.95
29,2009-12-31,21.055555555555557,2009,18.17
30,2010-12-31,20.666666666666668,2010,18.48
31,2011-12-31,16.38888888888889,2011,18.26
32,2012-12-31,4.944444444444444,2012,17.68
33,2013-12-31,5.944444444444446,2013,16.42
34,2014-12-31,4.944444444444444,2014,15.11
35,2015-12-31,18.333333333333332,2015,15.03
36,2016-12-31,20.944444444444443,2016,15.26
37,2017-12-31,20.055555555555554,2017,15.16
38,2018-12-31,20.166666666666668,2018,15.34
39,2019-12-31,18.833333333333336,2019,15.12
40,2020-12-31,22.277777777777775,2020,15.28
41,2021-12-31,21.444444444444443,2021,15.79
42,2022-12-31,21.999999999999996,2022,17.49
43,2023-12-31,21.611111111111114,2023,19.06
