,year,dew
0,2024,24.4097
1,2025,23.6637
2,2026,22.6958
3,2027,24.2771
4,2028,22.9604
5,2029,23.467
6,2030,23.1158
7,2031,23.7009
8,2032,22.7009
9,2033,24.9015
10,2034,23.5622
11,2035,23.6667
12,2036,24.2508
13,2037,23.71
14,2038,23.8797
15,2039,24.1124
16,2040,24.7388
17,2041,24.7743
18,2042,23.4971
19,2043,23.9058
20,2044,23.8452
21,2045,23.5596
22,2046,24.1812
23,2047,24.367
24,2048,24.7036
25,2049,25.5699
26,2050,24.0968
27,2051,23.9766
28,2052,25.3985
29,2053,23.9837
30,2054,24.78
31,2055,24.3586
32,2056,24.1752
33,2057,24.9564
34,2058,24.5725
35,2059,25.8837
36,2060,23.9661
37,2061,25.0567
38,2062,25.7304
39,2063,24.901
40,2064,25.593
41,2065,25.0863
42,2066,25.4363
43,2067,25.0158
44,2068,25.6219
45,2069,25.6092
46,2070,25.6319
47,2071,25.6928
48,2072,26.3141
49,2073,25.3563
50,2074,25.5991
51,2075,25.9092
52,2076,25.6851
53,2077,25.6626
54,2078,25.7504
55,2079,26.4207
56,2080,25.8349
