,year,num_days_above_90
0,2024,96.0
1,2025,126.0
2,2026,134.0
3,2027,131.0
4,2028,105.0
5,2029,122.0
6,2030,146.0
7,2031,206.0
8,2032,148.0
9,2033,169.0
10,2034,138.0
11,2035,148.0
12,2036,154.0
13,2037,180.0
14,2038,173.0
15,2039,207.0
16,2040,187.0
17,2041,171.0
18,2042,134.0
19,2043,205.0
20,2044,209.0
21,2045,193.0
22,2046,250.0
23,2047,236.0
24,2048,196.0
25,2049,248.0
26,2050,210.0
27,2051,262.0
28,2052,256.0
29,2053,213.0
30,2054,283.0
31,2055,280.0
32,2056,264.0
33,2057,290.0
34,2058,301.0
35,2059,312.0
36,2060,243.0
37,2061,281.0
38,2062,292.0
39,2063,292.0
40,2064,300.0
41,2065,306.0
42,2066,310.0
43,2067,289.0
44,2068,325.0
45,2069,331.0
46,2070,289.0
47,2071,322.0
48,2072,323.0
49,2073,330.0
50,2074,329.0
51,2075,312.0
52,2076,330.0
53,2077,334.0
54,2078,308.0
55,2079,347.0
56,2080,307.0
