,datetime,tempmax,year,yearly_rolling_avg
10,2034-12-31 00:00:00+00:00,35.93735479892613,2034,36.82
11,2035-12-31 00:00:00+00:00,37.4264240323322,2035,36.61
12,2036-12-31 00:00:00+00:00,37.24159148766411,2036,36.68
13,2037-12-31 00:00:00+00:00,36.4841691971523,2037,36.73
14,2038-12-31 00:00:00+00:00,36.40904635045346,2038,36.66
15,2039-12-31 00:00:00+00:00,37.86110740801006,2039,36.85
16,2040-12-31 00:00:00+00:00,38.15587769762798,2040,36.99
17,2041-12-31 00:00:00+00:00,35.42389433616267,2041,36.94
18,2042-12-31 00:00:00+00:00,36.99606590976117,2042,36.92
19,2043-12-31 00:00:00+00:00,37.080417984149626,2043,36.9
20,2044-12-31 00:00:00+00:00,36.95352502869056,2044,37.0
21,2045-12-31 00:00:00+00:00,37.88155431144144,2045,37.05
22,2046-12-31 00:00:00+00:00,37.74430118479327,2046,37.1
23,2047-12-31 00:00:00+00:00,37.5593028523287,2047,37.21
24,2048-12-31 00:00:00+00:00,37.40937537749335,2048,37.31
25,2049-12-31 00:00:00+00:00,35.53506707627222,2049,37.07
26,2050-12-31 00:00:00+00:00,34.76656647700634,2050,36.74
