,datetime,tempmin,year,yearly_rolling_avg
10,2034-12-31 00:00:00+00:00,22.333760556717905,2034,20.69
11,2035-12-31 00:00:00+00:00,19.91109953527778,2035,20.39
12,2036-12-31 00:00:00+00:00,20.77811188184666,2036,20.64
13,2037-12-31 00:00:00+00:00,20.41159337137795,2037,20.54
14,2038-12-31 00:00:00+00:00,21.721300626380305,2038,20.78
15,2039-12-31 00:00:00+00:00,22.505303094166123,2039,21.04
16,2040-12-31 00:00:00+00:00,23.28888524092534,2040,21.35
17,2041-12-31 00:00:00+00:00,23.226233869227137,2041,21.62
18,2042-12-31 00:00:00+00:00,20.277456626996823,2042,21.74
19,2043-12-31 00:00:00+00:00,22.115022467581152,2043,21.66
20,2044-12-31 00:00:00+00:00,21.884095534529013,2044,21.61
21,2045-12-31 00:00:00+00:00,20.08294669619887,2045,21.63
22,2046-12-31 00:00:00+00:00,20.174628134774203,2046,21.57
23,2047-12-31 00:00:00+00:00,21.42177732885149,2047,21.67
24,2048-12-31 00:00:00+00:00,23.038798497185557,2048,21.8
25,2049-12-31 00:00:00+00:00,23.185527486281497,2049,21.87
26,2050-12-31 00:00:00+00:00,23.265188675751133,2050,21.87
