,year,dew,10_year_rolling_avg
0,1980,21.794771241830066,
1,1981,22.35,
2,1982,12.333333333333336,
3,1983,19.25,
4,1984,12.833333333333334,
5,1985,22.555555555555554,
6,1986,23.611111111111114,
7,1987,23.802350427350426,
8,1988,23.259920634920636,
9,1989,12.86111111111111,19.4651
10,1990,24.055555555555557,19.6912
11,1991,23.682006633499174,19.8244
12,1992,18.833333333333336,20.4744
13,1993,9.555555555555557,19.505
14,1994,23.435258092738408,20.5652
15,1995,23.929166666666667,20.7025
16,1996,23.711257309941523,20.7126
17,1997,25.166666666666668,20.849
18,1998,23.741830065359476,20.8972
19,1999,23.78711755233494,21.9898
20,2000,23.81849912739965,21.9661
21,2001,23.899845679012348,21.9879
22,2002,23.830676328502417,22.4876
23,2003,24.120937263794406,23.9441
24,2004,24.062105773896167,24.0068
25,2005,24.194712397284746,24.0334
26,2006,24.558273870200477,24.1181
27,2007,23.416044776119403,23.943
28,2008,22.65364946536495,23.8342
29,2009,23.491798204890124,23.8047
30,2010,24.114916286149164,23.8343
31,2011,23.432572298325724,23.7876
32,2012,23.60564663023679,23.7651
33,2013,23.833789954337902,23.7364
34,2014,24.23531202435312,23.7537
35,2015,23.621613394216133,23.6964
36,2016,24.10230722525805,23.6508
37,2017,24.234246575342464,23.7326
38,2018,24.224048706240485,23.8896
39,2019,24.56986301369863,23.9974
40,2020,23.97115968427444,23.9831
41,2021,24.115677321156774,24.0514
42,2022,23.67062404870624,24.0579
43,2023,24.03957382039574,24.0784
0,2024,25.0003,24.1549
1,2025,24.0796,24.2007
2,2026,24.0988,24.2004
3,2027,24.6508,24.242
4,2028,24.5852,24.2782
5,2029,24.8794,24.3091
6,2030,24.7692,24.3889
7,2031,24.2714,24.4045
8,2032,25.0249,24.5399
9,2033,24.7367,24.6096
10,2034,24.3074,24.5403
11,2035,24.9125,24.6236
12,2036,25.2163,24.7354
13,2037,24.8045,24.7508
14,2038,25.0927,24.8015
15,2039,25.3263,24.8462
16,2040,25.1848,24.8878
17,2041,24.8351,24.9441
18,2042,25.4171,24.9833
19,2043,25.1884,25.0285
20,2044,24.8978,25.0876
21,2045,25.2322,25.1195
22,2046,25.871,25.185
23,2047,24.7726,25.1818
24,2048,25.6479,25.2373
25,2049,25.8056,25.2852
26,2050,25.474,25.3142
27,2051,25.6627,25.3969
28,2052,25.8742,25.4426
29,2053,25.6353,25.4873
30,2054,26.1482,25.6124
31,2055,25.9186,25.681
32,2056,25.3381,25.6277
33,2057,25.9878,25.7492
34,2058,26.5268,25.8371
35,2059,26.5688,25.9134
36,2060,25.8716,25.9532
37,2061,26.4184,26.0288
38,2062,26.6042,26.1018
39,2063,26.5079,26.189
40,2064,25.5866,26.1329
41,2065,26.3963,26.1806
42,2066,26.823,26.3291
43,2067,26.897,26.4201
44,2068,27.0946,26.4768
45,2069,26.2779,26.4477
46,2070,26.6423,26.5248
47,2071,26.8708,26.5701
48,2072,26.7806,26.5877
49,2073,26.7478,26.6117
50,2074,27.0339,26.7564
51,2075,27.1233,26.8291
52,2076,26.7627,26.8231
53,2077,26.8233,26.8157
54,2078,27.1872,26.825
55,2079,27.92,26.9892
56,2080,26.9967,27.0246
