,year,num_days_above_100,10_year_rolling_avg
0,1980,0.0,
1,1981,0.0,
2,1982,0.0,
3,1983,0.0,
4,1984,0.0,
5,1985,0.0,
6,1986,0.0,
7,1987,0.0,
8,1988,0.0,
9,1989,0.0,0.0
10,1990,0.0,0.0
11,1991,1.0,0.1
12,1992,0.0,0.1
13,1993,0.0,0.1
14,1994,0.0,0.1
15,1995,0.0,0.1
16,1996,0.0,0.1
17,1997,0.0,0.1
18,1998,0.0,0.1
19,1999,0.0,0.1
20,2000,0.0,0.1
21,2001,1.0,0.1
22,2002,0.0,0.1
23,2003,0.0,0.1
24,2004,0.0,0.1
25,2005,0.0,0.1
26,2006,0.0,0.1
27,2007,0.0,0.1
28,2008,0.0,0.1
29,2009,0.0,0.1
30,2010,1.0,0.2
31,2011,0.0,0.1
32,2012,0.0,0.1
33,2013,0.0,0.1
34,2014,0.0,0.1
35,2015,0.0,0.1
36,2016,0.0,0.1
37,2017,1.0,0.2
38,2018,0.0,0.2
39,2019,0.0,0.2
40,2020,2.0,0.3
41,2021,0.0,0.3
42,2022,3.0,0.6
43,2023,0.0,0.6
0,2024,0.0,0.6
1,2025,0.0,0.6
2,2026,0.0,0.6
3,2027,0.0,0.5
4,2028,0.0,0.5
5,2029,0.0,0.5
6,2030,0.0,0.3
7,2031,0.0,0.3
8,2032,0.0,0.0
9,2033,0.0,0.0
10,2034,0.0,0.0
11,2035,0.0,0.0
12,2036,0.0,0.0
13,2037,0.0,0.0
14,2038,0.0,0.0
15,2039,0.0,0.0
16,2040,0.0,0.0
17,2041,0.0,0.0
18,2042,0.0,0.0
19,2043,0.0,0.0
20,2044,0.0,0.0
21,2045,0.0,0.0
22,2046,0.0,0.0
23,2047,0.0,0.0
24,2048,0.0,0.0
25,2049,1.0,0.1
26,2050,0.0,0.1
27,2051,0.0,0.1
28,2052,0.0,0.1
29,2053,0.0,0.1
30,2054,1.0,0.2
31,2055,0.0,0.2
32,2056,0.0,0.2
33,2057,1.0,0.3
34,2058,1.0,0.4
35,2059,1.0,0.4
36,2060,2.0,0.6
37,2061,0.0,0.6
38,2062,1.0,0.7
39,2063,0.0,0.7
40,2064,0.0,0.6
41,2065,0.0,0.6
42,2066,5.0,1.1
43,2067,3.0,1.3
44,2068,9.0,2.1
45,2069,2.0,2.2
46,2070,1.0,2.1
47,2071,1.0,2.2
48,2072,2.0,2.3
49,2073,1.0,2.4
50,2074,1.0,2.5
51,2075,3.0,2.8
52,2076,5.0,2.8
53,2077,10.0,3.5
54,2078,3.0,2.9
55,2079,43.0,7.0
56,2080,15.0,8.4
