,year,precip,10_year_rolling_avg
10,1990,0.0,0.0
11,1991,145.6182,14.5618
12,1992,0.0,14.5618
13,1993,0.0,14.5618
14,1994,106.4768,25.2095
15,1995,166.97959999999998,41.9075
16,1996,125.50139999999999,54.4576
17,1997,0.0,54.4576
18,1998,305.5112,85.0087
19,1999,373.1006,122.3188
20,2000,470.25559999999996,169.3443
21,2001,1415.5166,296.3342
22,2002,833.0437999999999,379.6386
23,2003,274.2692,407.0655
24,2004,476.37699999999995,444.0555
25,2005,1353.6676,562.7243
26,2006,3490.214,899.1956
27,2007,1274.9022,1026.6858
28,2008,1068.3493999999998,1102.9696
29,2009,1629.8672,1228.6463
30,2010,1866.7222,1368.2929
31,2011,1949.3483999999999,1421.6761
32,2012,2265.0958,1564.8813
33,2013,1626.0064,1700.055
34,2014,2525.1664,1904.934
35,2015,1809.4959999999999,1950.5168
36,2016,2112.2131999999997,1812.7167
37,2017,1798.0913999999998,1865.0356
38,2018,1453.4642,1903.5471
39,2019,2129.2565999999997,1953.4861
40,2020,1357.249,1902.5387
41,2021,1572.6917999999998,1864.8731
42,2022,1891.9697999999999,1827.5605
43,2023,1855.4954,1850.5094
44,2024,534.1111999999999,1651.4039
10,2024,445.7500586609749,409.2586
11,2025,292.5774085521416,407.1633
12,2026,496.48185783287954,417.7089
13,2027,440.1866001155208,428.364
14,2028,640.3077014580635,449.3662
15,2029,535.9613097810388,468.8593
16,2030,442.75977185803185,466.4747
17,2031,417.7937288663484,474.9498
18,2032,528.1587410035058,481.1654
19,2033,425.2954304215368,466.5273
20,2034,377.2979288033457,459.682
21,2035,431.00352254608424,473.5247
22,2036,438.9838010344374,467.7749
23,2037,424.9657714440459,466.2528
24,2038,333.6634785952024,435.5883
25,2039,513.7685568400575,433.3691
26,2040,370.37207185831153,426.1303
27,2041,481.9937297084384,432.5503
28,2042,794.5019778136702,459.1846
29,2043,486.21133286249915,465.2762
30,2044,467.294224441373,474.2758
31,2045,514.4837374934386,482.6239
32,2046,579.4960829063666,496.6751
33,2047,333.0233918075237,487.4809
34,2048,394.8700001125412,493.6015
35,2049,431.1821399548117,485.3429
36,2050,388.7791793695674,487.1836
37,2051,496.71681517432353,488.6559
38,2052,507.47784868404096,459.9535
39,2053,460.1556723287217,457.3479
40,2054,485.335945825565,459.1521
41,2055,590.9294212778877,466.7966
42,2056,302.1622469415165,439.0633
43,2057,507.2478836948312,456.4857
44,2058,406.95308540682527,457.694
45,2059,461.74852640718063,460.7507
46,2060,495.0401990399605,471.3768
47,2061,453.9770535554312,467.1028
48,2062,364.0244070957956,452.7574
49,2063,569.5158476378369,463.6935
50,2064,510.0303043291324,466.1629
51,2065,318.186156959938,438.8886
52,2066,676.2775432815129,476.3001
53,2067,418.0384424559402,467.3792
54,2068,545.2260796020901,481.2065
55,2069,416.5299708165117,476.6846
56,2070,371.7725175041021,464.3578
57,2071,423.2580397475649,461.2859
58,2072,451.3688834763247,470.0204
59,2073,449.77890503114304,458.0467
60,2074,610.6341462980181,468.1071
61,2075,408.68340064019503,477.1568
62,2076,496.1382446614216,459.1429
63,2077,466.4678646132816,463.9858
64,2078,581.650892523026,467.6283
65,2079,700.06141664594,495.9814
66,2080,163.1220676229335,475.1164
