,year,dew
0,1980,21.794771241830066
1,1981,22.35
2,1982,12.333333333333336
3,1983,19.25
4,1984,12.833333333333334
5,1985,22.555555555555554
6,1986,23.611111111111114
7,1987,23.802350427350426
8,1988,23.259920634920636
9,1989,12.86111111111111
10,1990,24.055555555555557
11,1991,23.682006633499174
12,1992,18.833333333333336
13,1993,9.555555555555557
14,1994,23.435258092738408
15,1995,23.929166666666667
16,1996,23.711257309941523
17,1997,25.166666666666668
18,1998,23.741830065359476
19,1999,23.78711755233494
20,2000,23.81849912739965
21,2001,23.899845679012348
22,2002,23.830676328502417
23,2003,24.120937263794406
24,2004,24.062105773896167
25,2005,24.194712397284746
26,2006,24.558273870200477
27,2007,23.416044776119403
28,2008,22.65364946536495
29,2009,23.491798204890124
30,2010,24.114916286149164
31,2011,23.432572298325724
32,2012,23.60564663023679
33,2013,23.833789954337902
34,2014,24.23531202435312
35,2015,23.621613394216133
36,2016,24.10230722525805
37,2017,24.234246575342464
38,2018,24.224048706240485
39,2019,24.56986301369863
40,2020,23.97115968427444
41,2021,24.115677321156774
42,2022,23.67062404870624
43,2023,24.03957382039574
