,year,num_days_above_80
0,1980,40
1,1981,49
2,1982,0
3,1983,1
4,1984,2
5,1985,1
6,1986,1
7,1987,42
8,1988,28
9,1989,1
10,1990,0
11,1991,99
12,1992,1
13,1993,1
14,1994,90
15,1995,58
16,1996,43
17,1997,1
18,1998,89
19,1999,309
20,2000,161
21,2001,328
22,2002,212
23,2003,131
24,2004,209
25,2005,278
26,2006,309
27,2007,253
28,2008,226
29,2009,352
30,2010,361
31,2011,353
32,2012,352
33,2013,351
34,2014,345
35,2015,349
36,2016,358
37,2017,345
38,2018,355
39,2019,354
40,2020,358
41,2021,362
42,2022,358
43,2023,361
44,2024,153
