,datetime,tempmax,year,10_year_rolling_avg
10,1990-12-31,24.66666666666667,1990,30.46
11,1991-12-31,39.05555555555556,1991,30.96
12,1992-12-31,30.055555555555557,1992,31.76
13,1993-12-31,31.666666666666668,1993,32.17
14,1994-12-31,34.55555555555556,1994,32.42
15,1995-12-31,36.05555555555556,1995,33.17
16,1996-12-31,32.666666666666664,1996,33.3
17,1997-12-31,29.055555555555557,1997,32.54
18,1998-12-31,33.166666666666664,1998,32.35
19,1999-12-31,35.55555555555556,1999,32.65
20,2000-12-31,35.833333333333336,2000,33.77
21,2001-12-31,39.05555555555556,2001,33.77
22,2002-12-31,35.05555555555556,2002,34.27
23,2003-12-31,35.666666666666664,2003,34.67
24,2004-12-31,34.05555555555556,2004,34.62
25,2005-12-31,36.05555555555556,2005,34.62
26,2006-12-31,36.05555555555556,2006,34.96
27,2007-12-31,37.05555555555556,2007,35.76
28,2008-12-31,35.333333333333336,2008,35.97
29,2009-12-31,36.05555555555556,2009,36.02
30,2010-12-31,46.94444444444444,2010,37.13
31,2011-12-31,35.72222222222222,2011,36.8
32,2012-12-31,36.0,2012,36.89
33,2013-12-31,36.166666666666664,2013,36.94
34,2014-12-31,35.333333333333336,2014,37.07
35,2015-12-31,36.44444444444444,2015,37.11
36,2016-12-31,37.388888888888886,2016,37.24
37,2017-12-31,55.944444444444436,2017,39.13
38,2018-12-31,37.0,2018,39.3
39,2019-12-31,37.0,2019,39.39
40,2020-12-31,38.55555555555556,2020,38.56
41,2021-12-31,37.0,2021,38.68
42,2022-12-31,53.94444444444444,2022,40.48
43,2023-12-31,37.0,2023,40.56
44,2024-12-31,38.0,2024,40.83
