,datetime,tempmax,year,yearly_rolling_avg
3,1983-12-31,27.555555555555554,1983,27.89
4,1984-12-31,32.05555555555556,1984,27.22
5,1985-12-31,28.555555555555557,1985,29.39
6,1986-12-31,31.333333333333332,1986,30.65
7,1987-12-31,36.666666666666664,1987,32.19
8,1988-12-31,35.05555555555556,1988,34.35
9,1989-12-31,32.55555555555556,1989,34.76
10,1990-12-31,24.66666666666667,1990,30.76
11,1991-12-31,39.05555555555556,1991,32.09
12,1992-12-31,30.055555555555557,1992,31.26
13,1993-12-31,31.666666666666668,1993,33.59
14,1994-12-31,34.55555555555556,1994,32.09
15,1995-12-31,36.05555555555556,1995,34.09
16,1996-12-31,32.666666666666664,1996,34.43
17,1997-12-31,29.055555555555557,1997,32.59
18,1998-12-31,33.166666666666664,1998,31.63
19,1999-12-31,35.55555555555556,1999,32.59
20,2000-12-31,35.833333333333336,2000,34.85
21,2001-12-31,39.05555555555556,2001,36.81
22,2002-12-31,35.05555555555556,2002,36.65
23,2003-12-31,35.666666666666664,2003,36.59
24,2004-12-31,34.05555555555556,2004,34.93
25,2005-12-31,36.05555555555556,2005,35.26
26,2006-12-31,36.05555555555556,2006,35.39
27,2007-12-31,37.05555555555556,2007,36.39
28,2008-12-31,35.333333333333336,2008,36.15
29,2009-12-31,36.05555555555556,2009,36.15
30,2010-12-31,46.94444444444444,2010,39.44
31,2011-12-31,35.72222222222222,2011,39.57
32,2012-12-31,36.0,2012,39.56
33,2013-12-31,36.166666666666664,2013,35.96
34,2014-12-31,35.333333333333336,2014,35.83
35,2015-12-31,36.44444444444444,2015,35.98
36,2016-12-31,37.388888888888886,2016,36.39
37,2017-12-31,55.944444444444436,2017,43.26
38,2018-12-31,37.0,2018,43.44
39,2019-12-31,37.0,2019,43.31
40,2020-12-31,38.55555555555556,2020,37.52
41,2021-12-31,37.0,2021,37.52
42,2022-12-31,53.94444444444444,2022,43.17
43,2023-12-31,37.0,2023,42.65
44,2024-12-31,38.0,2024,42.98
