,datetime,tempmin,year,10_year_rolling_avg
10,1990-12-31,24.66666666666667,1990,21.74
11,1991-12-31,21.333333333333336,1991,23.97
12,1992-12-31,30.055555555555557,1992,24.77
13,1993-12-31,31.666666666666668,1993,25.37
14,1994-12-31,19.66666666666667,1994,24.67
15,1995-12-31,22.555555555555554,1995,24.07
16,1996-12-31,22.055555555555557,1996,23.81
17,1997-12-31,29.055555555555557,1997,24.53
18,1998-12-31,20.833333333333332,1998,24.36
19,1999-12-31,21.055555555555557,1999,24.29
20,2000-12-31,21.055555555555557,2000,23.93
21,2001-12-31,18.055555555555557,2001,23.61
22,2002-12-31,9.055555555555554,2002,21.51
23,2003-12-31,22.055555555555557,2003,20.54
24,2004-12-31,20.833333333333332,2004,20.66
25,2005-12-31,19.055555555555557,2005,20.31
26,2006-12-31,20.833333333333332,2006,20.19
27,2007-12-31,20.055555555555554,2007,19.29
28,2008-12-31,17.555555555555557,2008,18.96
29,2009-12-31,18.055555555555557,2009,18.66
30,2010-12-31,19.0,2010,18.46
31,2011-12-31,16.72222222222222,2011,18.32
32,2012-12-31,17.666666666666668,2012,19.18
33,2013-12-31,19.0,2013,18.88
34,2014-12-31,21.0,2014,18.89
35,2015-12-31,18.277777777777782,2015,18.82
36,2016-12-31,20.777777777777782,2016,18.81
37,2017-12-31,20.0,2017,18.81
38,2018-12-31,19.0,2018,18.95
39,2019-12-31,14.944444444444445,2019,18.64
40,2020-12-31,16.944444444444443,2020,18.43
41,2021-12-31,13.444444444444446,2021,18.11
42,2022-12-31,9.944444444444445,2022,17.33
43,2023-12-31,12.944444444444443,2023,16.73
44,2024-12-31,21.0,2024,16.73
