,year,dew
0,2024,25.0003
1,2025,24.0796
2,2026,24.0988
3,2027,24.6508
4,2028,24.5852
5,2029,24.8794
6,2030,24.7692
7,2031,24.2714
8,2032,25.0249
9,2033,24.7367
10,2034,24.3074
11,2035,24.9125
12,2036,25.2163
13,2037,24.8045
14,2038,25.0927
15,2039,25.3263
16,2040,25.1848
17,2041,24.8351
18,2042,25.4171
19,2043,25.1884
20,2044,24.8978
21,2045,25.2322
22,2046,25.871
23,2047,24.7726
24,2048,25.6479
25,2049,25.8056
26,2050,25.474
27,2051,25.6627
28,2052,25.8742
29,2053,25.6353
30,2054,26.1482
31,2055,25.9186
32,2056,25.3381
33,2057,25.9878
34,2058,26.5268
35,2059,26.5688
36,2060,25.8716
37,2061,26.4184
38,2062,26.6042
39,2063,26.5079
40,2064,25.5866
41,2065,26.3963
42,2066,26.823
43,2067,26.897
44,2068,27.0946
45,2069,26.2779
46,2070,26.6423
47,2071,26.8708
48,2072,26.7806
49,2073,26.7478
50,2074,27.0339
51,2075,27.1233
52,2076,26.7627
53,2077,26.8233
54,2078,27.1872
55,2079,27.92
56,2080,26.9967
