,datetime,tempmax,year,yearly_rolling_avg
3,2027-12-31 00:00:00+00:00,34.986780961984806,2027,35.47
4,2028-12-31 00:00:00+00:00,35.06650756870932,2028,35.07
5,2029-12-31 00:00:00+00:00,34.95082045629385,2029,35.0
6,2030-12-31 00:00:00+00:00,35.640401912699645,2030,35.22
7,2031-12-31 00:00:00+00:00,35.13641904471751,2031,35.24
8,2032-12-31 00:00:00+00:00,35.19621990997292,2032,35.32
9,2033-12-31 00:00:00+00:00,35.37314618527104,2033,35.24
10,2034-12-31 00:00:00+00:00,34.21916665466084,2034,34.93
11,2035-12-31 00:00:00+00:00,34.91323797621729,2035,34.84
12,2036-12-31 00:00:00+00:00,35.63316212250192,2036,34.92
13,2037-12-31 00:00:00+00:00,35.694137390421766,2037,35.41
14,2038-12-31 00:00:00+00:00,36.23223209114306,2038,35.85
15,2039-12-31 00:00:00+00:00,35.3359029939519,2039,35.75
16,2040-12-31 00:00:00+00:00,35.94428512837732,2040,35.84
17,2041-12-31 00:00:00+00:00,35.33140714104213,2041,35.54
18,2042-12-31 00:00:00+00:00,34.643162847333,2042,35.31
19,2043-12-31 00:00:00+00:00,35.99437873837202,2043,35.32
20,2044-12-31 00:00:00+00:00,35.58872007064937,2044,35.41
21,2045-12-31 00:00:00+00:00,35.61190030103652,2045,35.73
22,2046-12-31 00:00:00+00:00,36.349529982244825,2046,35.85
23,2047-12-31 00:00:00+00:00,36.08896978941111,2047,36.02
24,2048-12-31 00:00:00+00:00,35.49103716664913,2048,35.98
25,2049-12-31 00:00:00+00:00,37.52044540911582,2049,36.37
26,2050-12-31 00:00:00+00:00,36.34278614855731,2050,36.45
