,datetime,tempmin,year,yearly_rolling_avg
3,2027-12-31 00:00:00+00:00,23.32683790368969,2027,22.55
4,2028-12-31 00:00:00+00:00,22.57657788170144,2028,22.44
5,2029-12-31 00:00:00+00:00,23.955591808889867,2029,23.29
6,2030-12-31 00:00:00+00:00,22.43318306424442,2030,22.99
7,2031-12-31 00:00:00+00:00,20.834839732151245,2031,22.41
8,2032-12-31 00:00:00+00:00,24.38325829350682,2032,22.55
9,2033-12-31 00:00:00+00:00,23.82526578840008,2033,23.01
10,2034-12-31 00:00:00+00:00,23.831075260006305,2034,24.01
11,2035-12-31 00:00:00+00:00,23.89877594386539,2035,23.85
12,2036-12-31 00:00:00+00:00,24.99511742804343,2036,24.24
13,2037-12-31 00:00:00+00:00,24.447723910946443,2037,24.45
14,2038-12-31 00:00:00+00:00,23.844650879344137,2038,24.43
15,2039-12-31 00:00:00+00:00,22.594813069016855,2039,23.63
16,2040-12-31 00:00:00+00:00,24.323760750734294,2040,23.59
17,2041-12-31 00:00:00+00:00,23.309027555351705,2041,23.41
18,2042-12-31 00:00:00+00:00,23.249575579930536,2042,23.63
19,2043-12-31 00:00:00+00:00,24.276073298657305,2043,23.61
20,2044-12-31 00:00:00+00:00,24.4519789165075,2044,23.99
21,2045-12-31 00:00:00+00:00,22.572938251338673,2045,23.77
22,2046-12-31 00:00:00+00:00,25.78624638454426,2046,24.27
23,2047-12-31 00:00:00+00:00,22.174362203916345,2047,23.51
24,2048-12-31 00:00:00+00:00,23.669278672371345,2048,23.88
25,2049-12-31 00:00:00+00:00,25.00043703578444,2049,23.61
26,2050-12-31 00:00:00+00:00,23.264875110021173,2050,23.98
