name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
lagos nigeria,1980-01-01,86.1,86.1,86.1,90.8,90.8,90.8,69.9,58.6,0,0,0,,,,,4.7,90,1008,0,6.2,,,,,1980-01-01T06:57:06,1980-01-01T18:42:20,0.47,Clear,Clear conditions throughout the day.,clear-day,65201099999
lagos nigeria,1980-01-02,75.3,75.3,75.3,75.3,75.3,75.3,73.5,94.2,0,0,0,,,,,5.8,360,1012.5,90,,,,,,1980-01-02T06:57:32,1980-01-02T18:42:50,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,65201099999
lagos nigeria,1980-01-03,78.9,78.9,78.9,78.9,78.9,78.9,77.1,94.2,0,0,0,,,,,9.2,310,1010,90,6.2,,,,,1980-01-03T06:57:57,1980-01-03T18:43:21,0.53,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,65201099999
lagos nigeria,1980-01-04,,,,,,,,,,,0,,,,,0,,,,,,,,,1980-01-04T06:58:22,1980-01-04T18:43:52,0.57,,,,
lagos nigeria,1980-01-05,89.7,75.3,82.5,100.5,75.3,87.9,75.3,81.4,0,0,0,,,,,6.9,238.2,1011.6,70,6.2,,,,,1980-01-05T06:58:46,1980-01-05T18:44:22,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
lagos nigeria,1980-01-06,86.1,86.1,86.1,95.4,95.4,95.4,75.3,70.3,0,0,0,,,,,5.8,300,1018.6,80,6.2,,,,,1980-01-06T06:59:09,1980-01-06T18:44:53,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
lagos nigeria,1980-01-07,73.5,73.5,73.5,73.5,73.5,73.5,69.9,88.5,0,0,0,,,,,2.2,230,1010.2,80,6.2,,,,,1980-01-07T06:59:32,1980-01-07T18:45:23,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
lagos nigeria,1980-01-08,,,,,,,,,,,0,,,,,0,,,,,,,,,1980-01-08T06:59:54,1980-01-08T18:45:52,0.7,,,,
lagos nigeria,1980-01-09,77.1,77.1,77.1,77.1,77.1,77.1,75.3,94.2,0,0,0,,,,,5.8,60,1010.6,80,1.2,,,,,1980-01-09T07:00:16,1980-01-09T18:46:22,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
lagos nigeria,1980-01-10,86.1,86.1,86.1,95.4,95.4,95.4,75.3,70.3,0,0,0,,,,,5.8,120,1003.7,90,7.5,,,,,1980-01-10T07:00:36,1980-01-10T18:46:51,0.75,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,65201099999
lagos nigeria,1980-01-11,,,,,,,,,,,0,,,,,0,,,,,,,,,1980-01-11T07:00:56,1980-01-11T18:47:20,0.79,,,,
lagos nigeria,1980-01-12,89.7,89.7,89.7,100.5,100.5,100.5,75.3,62.7,0,0,0,,,,,6.9,230,1005.2,30,9.3,,,,,1980-01-12T07:01:15,1980-01-12T18:47:48,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
lagos nigeria,1980-01-13,,,,,,,,,,,0,,,,,0,,,,,,,,,1980-01-13T07:01:34,1980-01-13T18:48:17,0.86,,,,
lagos nigeria,1980-01-14,87.9,84.3,86.1,98,94.4,96.2,76.2,72.7,0,0,0,,,,,6.9,226,1007.9,80,9.3,,,,,1980-01-14T07:01:51,1980-01-14T18:48:44,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
lagos nigeria,1980-01-15,,,,,,,,,,,0,,,,,0,,,,,,,,,1980-01-15T07:02:08,1980-01-15T18:49:12,0.92,,,,
lagos nigeria,1980-01-16,87.9,80.7,84.3,100.2,87.4,93.8,77.1,79.7,0,0,0,,,,,8.1,285.4,1008,75,8.7,,,,,1980-01-16T07:02:24,1980-01-16T18:49:38,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
lagos nigeria,1980-01-17,,,,,,,,,,,0,,,,,0,,,,,,,,,1980-01-17T07:02:39,1980-01-17T18:50:05,0,,,,
lagos nigeria,1980-01-18,,,,,,,,,,,0,,,,,0,,,,,,,,,1980-01-18T07:02:53,1980-01-18T18:50:31,0.02,,,,
lagos nigeria,1980-01-19,,,,,,,,,,,0,,,,,0,,,,,,,,,1980-01-19T07:03:06,1980-01-19T18:50:56,0.06,,,,
lagos nigeria,1980-01-20,,,,,,,,,,,0,,,,,0,,,,,,,,,1980-01-20T07:03:19,1980-01-20T18:51:21,0.09,,,,
lagos nigeria,1980-01-21,,,,,,,,,,,0,,,,,0,,,,,,,,,1980-01-21T07:03:30,1980-01-21T18:51:45,0.13,,,,
lagos nigeria,1980-01-22,,,,,,,,,,,0,,,,,0,,,,,,,,,1980-01-22T07:03:41,1980-01-22T18:52:08,0.16,,,,
lagos nigeria,1980-01-23,,,,,,,,,,,0,,,,,0,,,,,,,,,1980-01-23T07:03:50,1980-01-23T18:52:31,0.2,,,,
lagos nigeria,1980-01-24,35.7,35.7,35.7,30,30,30,-23.7,6.6,0,0,0,,,,,6.9,240,1015.4,100,9.3,,,,,1980-01-24T07:03:59,1980-01-24T18:52:54,0.25,Overcast,Cloudy skies throughout the day.,cloudy,65201099999
lagos nigeria,1980-01-25,,,,,,,,,,,0,,,,,0,,,,,,,,,1980-01-25T07:04:07,1980-01-25T18:53:15,0.27,,,,
lagos nigeria,1980-01-26,87.9,87.9,87.9,92.9,92.9,92.9,69.9,55.3,0,0,0,,,,,4.7,20,961.3,60,9.3,,,,,1980-01-26T07:04:13,1980-01-26T18:53:36,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
lagos nigeria,1980-01-27,,,,,,,,,,,0,,,,,0,,,,,,,,,1980-01-27T07:04:19,1980-01-27T18:53:57,0.34,,,,
lagos nigeria,1980-01-28,91.5,78.9,86.1,100.8,78.9,92.6,74.7,70.3,0,0,0,,,,,13.9,276.7,1011.1,76.7,8.9,,,,,1980-01-28T07:04:24,1980-01-28T18:54:17,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
lagos nigeria,1980-01-29,78.9,78.9,78.9,78.9,78.9,78.9,73.5,83.6,0,0,0,,,,,9.2,320,1010.7,90,3.7,,,,,1980-01-29T07:04:28,1980-01-29T18:54:36,0.41,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,65201099999
lagos nigeria,1980-01-30,,,,,,,,,,,0,,,,,0,,,,,,,,,1980-01-30T07:04:31,1980-01-30T18:54:54,0.44,,,,
lagos nigeria,1980-01-31,,,,,,,,,,,0,,,,,0,,,,,,,,,1980-01-31T07:04:33,1980-01-31T18:55:12,0.48,,,,
lagos nigeria,1980-02-01,35.7,35.7,35.7,35.7,35.7,35.7,-12.9,11.5,0,0,0,,,,,0,,940.1,90,12.4,,,,,1980-02-01T07:04:34,1980-02-01T18:55:29,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,65201099999
lagos nigeria,1980-02-02,,,,,,,,,,,0,,,,,0,,,,,,,,,1980-02-02T07:04:34,1980-02-02T18:55:45,0.54,,,,
lagos nigeria,1980-02-03,,,,,,,,,,,0,,,,,0,,,,,,,,,1980-02-03T07:04:33,1980-02-03T18:56:01,0.58,,,,
lagos nigeria,1980-02-04,,,,,,,,,,,0,,,,,0,,,,,,,,,1980-02-04T07:04:31,1980-02-04T18:56:16,0.61,,,,
lagos nigeria,1980-02-05,,,,,,,,,,,0,,,,,0,,,,,,,,,1980-02-05T07:04:29,1980-02-05T18:56:30,0.64,,,,
lagos nigeria,1980-02-06,,,,,,,,,,,0,,,,,0,,,,,,,,,1980-02-06T07:04:25,1980-02-06T18:56:44,0.68,,,,
lagos nigeria,1980-02-07,,,,,,,,,,,0,,,,,0,,,,,,,,,1980-02-07T07:04:20,1980-02-07T18:56:56,0.71,,,,
lagos nigeria,1980-02-08,,,,,,,,,,,0,,,,,0,,,,,,,,,1980-02-08T07:04:15,1980-02-08T18:57:09,0.74,,,,
