,year,dew,10_year_rolling_avg
0,1980,21.443230115361263,
1,1981,20.69041095890411,
2,1982,21.348706240487065,
3,1983,20.2806697108067,
4,1984,19.999089253187616,
5,1985,20.36910197869102,
6,1986,20.5220700152207,
7,1987,20.904414003044142,
8,1988,20.84608378870674,
9,1989,20.204566210045662,20.6608
10,1990,21.166056166056165,20.6331
11,1991,20.789193302891935,20.643
12,1992,20.755616272009714,20.5837
13,1993,20.90365296803653,20.646
14,1994,20.89453601953602,20.7355
15,1995,20.527245053272452,20.7513
16,1996,20.861937830687832,20.7853
17,1997,20.56166056166056,20.7511
18,1998,21.921398046398046,20.8586
19,1999,20.23013698630137,20.8611
20,2000,20.229395604395606,20.7675
21,2001,20.628968253968253,20.7515
22,2002,18.907745336577456,20.5667
23,2003,19.94767620806402,20.4711
24,2004,19.262143290831816,20.3078
25,2005,18.903044140030442,20.1454
26,2006,19.89756468797565,20.049
27,2007,20.235007610350074,20.0163
28,2008,20.33242258652095,19.8574
29,2009,21.32283105022831,19.9667
30,2010,21.662100456621005,20.11
31,2011,20.693607305936073,20.1164
32,2012,20.160595021250757,20.2417
33,2013,20.659208523592085,20.3129
34,2014,20.893607305936072,20.476
35,2015,21.0427701674277,20.69
36,2016,21.030510018214937,20.8033
37,2017,21.581278538812786,20.9379
38,2018,21.27853881278539,21.0325
39,2019,21.783561643835615,21.0786
40,2020,21.987249544626593,21.1111
41,2021,22.064992389649927,21.2482
42,2022,21.539421613394214,21.3861
43,2023,21.599238964992388,21.4801
0,2024,21.8246,21.5732
1,2025,21.6878,21.6377
2,2026,22.0921,21.7439
3,2027,22.4404,21.8298
4,2028,22.1306,21.915
5,2029,22.5386,21.9905
6,2030,22.2787,22.0196
7,2031,21.7822,21.9914
8,2032,22.5939,22.0968
9,2033,22.8192,22.2188
10,2034,22.4491,22.2813
11,2035,22.5802,22.3705
12,2036,23.0274,22.464
13,2037,22.3358,22.4536
14,2038,22.7046,22.511
15,2039,22.8222,22.5393
16,2040,22.428,22.5543
17,2041,22.7566,22.6517
18,2042,22.7015,22.6625
19,2043,23.0414,22.6847
20,2044,23.3063,22.7704
21,2045,23.216,22.834
22,2046,23.2186,22.8531
23,2047,23.0576,22.9253
24,2048,23.5432,23.0091
25,2049,22.9749,23.0244
26,2050,23.1563,23.0972
27,2051,23.2941,23.151
28,2052,23.3142,23.2123
29,2053,23.196,23.2277
30,2054,24.1976,23.3169
31,2055,23.4103,23.3363
32,2056,23.5622,23.3706
33,2057,23.2287,23.3878
34,2058,24.4279,23.4762
35,2059,24.3802,23.6168
36,2060,23.9437,23.6955
37,2061,23.8656,23.7526
38,2062,24.3975,23.861
39,2063,24.5212,23.9935
40,2064,23.7713,23.9509
41,2065,23.9879,24.0086
42,2066,24.2364,24.076
43,2067,24.5641,24.2096
44,2068,24.2248,24.1893
45,2069,24.3224,24.1835
46,2070,24.3128,24.2204
47,2071,24.7711,24.3109
48,2072,24.7009,24.3413
49,2073,25.1855,24.4077
50,2074,24.7479,24.5054
51,2075,25.0606,24.6126
52,2076,24.713,24.6603
53,2077,25.1327,24.7172
54,2078,24.8574,24.7804
55,2079,25.6736,24.9156
56,2080,25.112,24.9955
