,year,num_days_above_100
0,1980,2.0
1,1981,6.0
2,1982,2.0
3,1983,2.0
4,1984,2.0
5,1985,3.0
6,1986,1.0
7,1987,2.0
8,1988,1.0
9,1989,3.0
10,1990,1.0
11,1995,1.0
12,1996,3.0
13,1997,6.0
14,1998,6.0
15,1999,7.0
16,2000,5.0
17,2001,1.0
18,2002,4.0
19,2003,6.0
20,2004,14.0
21,2005,2.0
22,2006,1.0
23,2007,2.0
24,2009,4.0
25,2010,20.0
26,2011,16.0
27,2012,18.0
28,2013,10.0
29,2014,14.0
30,2015,14.0
31,2016,3.0
32,2017,7.0
33,2018,5.0
34,2019,1.0
35,2020,1.0
36,2021,2.0
37,2022,1.0
38,2023,2.0
39,2024,2.0
0,2025,0.0
1,2026,0.0
2,2027,4.0
3,2028,9.0
4,2029,6.0
5,2030,2.0
6,2031,4.0
7,2032,4.0
8,2033,5.0
9,2034,3.0
10,2035,1.0
11,2036,6.0
12,2037,4.0
13,2038,1.0
14,2039,1.0
15,2040,3.0
16,2041,16.0
17,2042,8.0
18,2043,6.0
19,2044,11.0
20,2045,8.0
21,2046,5.0
22,2047,7.0
23,2048,9.0
24,2049,9.0
25,2050,9.0
