,year,num_days_above_90,10_year_rolling_avg
0,1980,122.0,
1,1981,119.0,
2,1982,86.0,
3,1983,56.0,
4,1984,128.0,
5,1985,95.0,
6,1986,102.0,
7,1987,129.0,
8,1988,95.0,
9,1989,102.0,103.4
10,1990,87.0,99.9
11,1991,102.0,98.2
12,1992,101.0,99.7
13,1993,94.0,103.5
14,1994,119.0,102.6
15,1995,137.0,106.8
16,1996,99.0,106.5
17,1997,143.0,107.9
18,1998,141.0,112.5
19,1999,107.0,113.0
20,2000,126.0,116.9
21,2001,116.0,118.3
22,2002,156.0,123.8
23,2003,144.0,128.8
24,2004,147.0,131.6
25,2005,113.0,129.2
26,2006,93.0,128.6
27,2007,133.0,127.6
28,2008,130.0,126.5
29,2009,139.0,129.7
30,2010,151.0,132.2
31,2011,152.0,135.8
32,2012,140.0,134.2
33,2013,127.0,132.5
34,2014,171.0,134.9
35,2015,176.0,141.2
36,2016,168.0,148.7
37,2017,191.0,154.5
38,2018,197.0,161.2
39,2019,145.0,161.8
40,2020,158.0,162.5
41,2021,153.0,162.6
42,2022,140.0,162.6
43,2023,167.0,166.6
0,2024,143.0,163.8
1,2025,121.0,158.3
2,2026,103.0,151.8
3,2027,141.0,146.8
4,2028,143.0,141.4
5,2029,147.0,141.6
6,2030,165.0,142.3
7,2031,141.0,141.1
8,2032,166.0,143.7
9,2033,187.0,145.7
10,2034,124.0,143.8
11,2035,149.0,146.6
12,2036,171.0,153.4
13,2037,150.0,154.3
14,2038,167.0,156.7
15,2039,163.0,158.3
16,2040,172.0,159.0
17,2041,184.0,163.3
18,2042,155.0,162.2
19,2043,162.0,159.7
20,2044,193.0,166.6
21,2045,190.0,170.7
22,2046,177.0,171.3
23,2047,141.0,170.4
24,2048,189.0,172.6
25,2049,199.0,176.2
26,2050,194.0,178.4
27,2051,209.0,180.9
28,2052,207.0,186.1
29,2053,188.0,188.7
30,2054,243.0,193.7
31,2055,197.0,194.4
32,2056,192.0,195.9
33,2057,191.0,200.9
34,2058,234.0,205.4
35,2059,239.0,209.4
36,2060,202.0,210.2
37,2061,195.0,208.8
38,2062,216.0,209.7
39,2063,218.0,212.7
40,2064,232.0,211.6
41,2065,196.0,211.5
42,2066,216.0,213.9
43,2067,215.0,216.3
44,2068,238.0,216.7
45,2069,221.0,214.9
46,2070,231.0,217.8
47,2071,260.0,224.3
48,2072,264.0,229.1
49,2073,241.0,231.4
50,2074,257.0,233.9
51,2075,256.0,239.9
52,2076,246.0,242.9
53,2077,249.0,246.3
54,2078,261.0,248.6
55,2079,273.0,253.8
56,2080,242.0,254.9
