,year,precip,10_year_rolling_avg
0,1980,1640.586,
1,1981,2137.8671999999997,
2,1982,2659.761,
3,1983,3319.1196,
4,1984,2020.0366,
5,1985,2561.844,
6,1986,1606.423,
7,1987,2027.174,
8,1988,3089.0209999999997,
9,1989,2266.0609999999997,2332.7893
10,1990,2701.0868,2438.8394
11,1991,2648.2547999999997,2489.8782
12,1992,1939.6963999999998,2417.8717
13,1993,2542.2352,2340.1833
14,1994,2483.3833999999997,2386.518
15,1995,1792.1478,2309.5483
16,1996,317.67779999999993,2180.6738
17,1997,76.327,1985.5891
18,1998,101.77779999999998,1686.8648
19,1999,566.0898,1516.8677
20,2000,2206.7012,1467.4291
21,2001,1195.1716,1322.1208
22,2002,203.6572,1148.5169
23,2003,1253.2105999999999,1019.6144
24,2004,2007.4635999999998,972.0224
25,2005,2137.0798,1006.5156
26,2006,2824.6832,1257.2162
27,2007,2380.9705999999996,1487.6805
28,2008,2507.361,1728.2389
29,2009,2174.8242,1889.1123
30,2010,3295.6499999999996,1998.0072
31,2011,2758.0335999999998,2154.2934
32,2012,2098.7257999999997,2343.8002
33,2013,2252.6243999999997,2443.7416
34,2014,2197.6587999999997,2462.7611
35,2015,1819.7322,2431.0264
36,2016,3037.3066,2452.2887
37,2017,3055.6454,2519.7562
38,2018,2240.153,2493.0354
39,2019,3779.3929999999996,2653.4923
40,2020,3742.3089999999997,2698.1582
41,2021,3565.2201999999997,2778.8768
42,2022,2693.035,2838.3078
43,2023,3003.5245999999997,2913.3978
10,2024,1050.1255458111154,2798.6445
11,2025,2187.084582373842,2835.3797
12,2026,2190.0074733032743,2750.6498
13,2027,2323.509670425534,2677.4362
14,2028,1439.0704387786864,2597.328
15,2029,1282.199385868691,2347.6086
16,2030,1544.685179976048,2127.8462
17,2031,698.8760563675951,1841.2118
18,2032,885.113440154817,1660.4196
19,2033,2885.6694502509563,1648.6341
20,2034,1751.5946314163702,1718.781
21,2035,1863.6490609569448,1686.4375
22,2036,2229.6932525247685,1690.4061
23,2037,1075.7317780402009,1565.6283
24,2038,1772.9402240996496,1599.0152
25,2039,1406.3262551217886,1611.4279
26,2040,887.3341539858739,1545.6928
27,2041,2171.5961063448776,1692.9648
28,2042,1371.3012971234093,1741.5836
29,2043,2131.741404325796,1666.1908
30,2044,1643.2904625092417,1655.3604
31,2045,1907.463477870937,1659.7418
32,2046,2309.464503325587,1667.719
33,2047,2534.050019499533,1813.5508
34,2048,595.3666715469681,1695.7934
35,2049,2184.155140428171,1773.5763
36,2050,501.4993691891905,1734.9928
37,2051,789.771054785926,1596.8103
38,2052,1698.1183344297242,1629.492
39,2053,893.8443714715213,1505.7023
40,2054,3027.3794126840585,1644.1112
41,2055,1992.673590014194,1652.6322
42,2056,1383.6973207129922,1560.0555
43,2057,1173.0250500489892,1423.953
44,2058,1354.0933768560462,1499.8257
45,2059,2057.7144641155173,1487.1816
46,2060,1022.8504087508844,1539.3167
47,2061,1642.7759113118482,1624.6172
48,2062,2425.425956065359,1697.348
49,2063,984.5279691705692,1706.4163
50,2064,1705.8006160992736,1574.2585
51,2065,1390.313728961708,1514.0225
52,2066,1901.3286904416236,1565.7856
53,2067,845.1082689465056,1532.9939
54,2068,3129.5450875236056,1710.5391
55,2069,2008.2845359795683,1705.5961
56,2070,1077.064727045683,1711.0175
57,2071,723.5833532272973,1619.0983
58,2072,2861.836438914026,1662.7393
59,2073,1659.369652021931,1730.2235
60,2074,1258.7723037249198,1685.5207
61,2075,1937.4613076736712,1740.2354
62,2076,1673.129120806963,1717.4155
63,2077,3797.006794352841,2012.6053
64,2078,949.6734381655624,1794.6182
65,2079,4286.061680614948,2022.3959
66,2080,2480.1027313564773,2162.6997
