,datetime,tempmax,year,yearly_rolling_avg
10,1990-12-31 00:00:00,40.05555555555556,1990,39.05
11,1991-12-31 00:00:00,37.05555555555556,1991,38.85
12,1992-12-31 00:00:00,36.166666666666664,1992,38.58
13,1993-12-31 00:00:00,36.166666666666664,1993,38.38
14,1994-12-31 00:00:00,35.833333333333336,1994,38.08
15,1995-12-31 00:00:00,38.333333333333336,1995,38.01
16,1996-12-31 00:00:00,39.05555555555556,1996,38.05
17,1997-12-31 00:00:00,39.05555555555556,1997,38.02
18,1998-12-31 00:00:00,40.05555555555556,1998,38.14
19,1999-12-31 00:00:00,40.05555555555556,1999,38.18
20,2000-12-31 00:00:00,40.05555555555556,2000,38.18
21,2001-12-31 00:00:00,39.05555555555556,2001,38.38
22,2002-12-31 00:00:00,39.05555555555556,2002,38.67
23,2003-12-31 00:00:00,39.05555555555556,2003,38.96
24,2004-12-31 00:00:00,41.05555555555556,2004,39.48
25,2005-12-31 00:00:00,39.05555555555556,2005,39.56
26,2006-12-31 00:00:00,38.05555555555556,2006,39.46
27,2007-12-31 00:00:00,39.05555555555556,2007,39.46
28,2008-12-31 00:00:00,37.05555555555556,2008,39.16
29,2009-12-31 00:00:00,40.05555555555556,2009,39.16
30,2010-12-31 00:00:00,40.55555555555556,2010,39.21
31,2011-12-31 00:00:00,40.833333333333336,2011,39.38
32,2012-12-31 00:00:00,41.94444444444444,2012,39.67
33,2013-12-31 00:00:00,40.166666666666664,2013,39.78
34,2014-12-31 00:00:00,42.55555555555556,2014,39.93
35,2015-12-31 00:00:00,41.333333333333336,2015,40.16
36,2016-12-31 00:00:00,38.44444444444444,2016,40.2
37,2017-12-31 00:00:00,39.166666666666664,2017,40.21
38,2018-12-31 00:00:00,40.388888888888886,2018,40.54
39,2019-12-31 00:00:00,38.44444444444444,2019,40.38
40,2020-12-31 00:00:00,37.94444444444444,2020,40.12
41,2021-12-31 00:00:00,39.72222222222222,2021,40.01
42,2022-12-31 00:00:00,38.111111111111114,2022,39.63
43,2023-12-31 00:00:00,39.0,2023,39.51
44,2024-12-31 00:00:00,38.05555555555556,2024,39.06
10,2034-12-31 00:00:00+00:00,37.698369303696246,2034,38.26
11,2035-12-31 00:00:00+00:00,38.003673594173755,2035,38.45
12,2036-12-31 00:00:00+00:00,39.092379705038944,2036,38.66
13,2037-12-31 00:00:00+00:00,37.110188823519394,2037,38.39
14,2038-12-31 00:00:00+00:00,36.72227319309523,2038,38.12
15,2039-12-31 00:00:00+00:00,37.14270416683137,2039,37.87
16,2040-12-31 00:00:00+00:00,39.05773895738641,2040,38.06
17,2041-12-31 00:00:00+00:00,40.0752117374735,2041,38.3
18,2042-12-31 00:00:00+00:00,39.22806332376535,2042,38.29
19,2043-12-31 00:00:00+00:00,38.14055211141876,2043,38.23
20,2044-12-31 00:00:00+00:00,38.93593407517009,2044,38.35
21,2045-12-31 00:00:00+00:00,38.91207564958637,2045,38.44
22,2046-12-31 00:00:00+00:00,37.360381276536145,2046,38.27
23,2047-12-31 00:00:00+00:00,38.392802208799765,2047,38.4
24,2048-12-31 00:00:00+00:00,38.87501765521023,2048,38.61
25,2049-12-31 00:00:00+00:00,40.52718917445124,2049,38.95
26,2050-12-31 00:00:00+00:00,39.147709490379995,2050,38.96
