,datetime,tempmin,year,10_year_rolling_avg
10,1990-12-31 00:00:00,16.055555555555557,1990,13.39
11,1991-12-31 00:00:00,12.055555555555557,1991,13.29
12,1992-12-31 00:00:00,13.333333333333334,1992,13.34
13,1993-12-31 00:00:00,15.333333333333334,1993,13.64
14,1994-12-31 00:00:00,13.055555555555555,1994,13.88
15,1995-12-31 00:00:00,13.055555555555555,1995,13.72
16,1996-12-31 00:00:00,19.055555555555557,1996,14.32
17,1997-12-31 00:00:00,16.055555555555557,1997,14.49
18,1998-12-31 00:00:00,15.055555555555555,1998,14.79
19,1999-12-31 00:00:00,17.055555555555557,1999,15.01
20,2000-12-31 00:00:00,16.055555555555557,2000,15.01
21,2001-12-31 00:00:00,16.055555555555557,2001,15.41
22,2002-12-31 00:00:00,13.055555555555555,2002,15.38
23,2003-12-31 00:00:00,12.055555555555557,2003,15.06
24,2004-12-31 00:00:00,-3.555555555555555,2004,13.39
25,2005-12-31 00:00:00,15.055555555555555,2005,13.59
26,2006-12-31 00:00:00,18.055555555555557,2006,13.49
27,2007-12-31 00:00:00,18.055555555555557,2007,13.69
28,2008-12-31 00:00:00,14.055555555555554,2008,13.59
29,2009-12-31 00:00:00,19.055555555555557,2009,13.79
30,2010-12-31 00:00:00,13.444444444444446,2010,13.53
31,2011-12-31 00:00:00,14.166666666666666,2011,13.34
32,2012-12-31 00:00:00,13.444444444444446,2012,13.38
33,2013-12-31 00:00:00,13.333333333333334,2013,13.51
34,2014-12-31 00:00:00,14.055555555555554,2014,15.27
35,2015-12-31 00:00:00,13.666666666666666,2015,15.13
36,2016-12-31 00:00:00,14.555555555555555,2016,14.78
37,2017-12-31 00:00:00,16.0,2017,14.58
38,2018-12-31 00:00:00,16.666666666666668,2018,14.84
39,2019-12-31 00:00:00,14.944444444444445,2019,14.43
40,2020-12-31 00:00:00,15.11111111111111,2020,14.59
41,2021-12-31 00:00:00,17.72222222222222,2021,14.95
42,2022-12-31 00:00:00,15.333333333333334,2022,15.14
43,2023-12-31 00:00:00,17.055555555555557,2023,15.51
44,2024-12-31 00:00:00,17.83333333333333,2024,15.89
10,2024-12-31 00:00:00+00:00,15.24985000021536,2024,14.45
11,2025-12-31 00:00:00+00:00,16.021514070267187,2025,14.76
12,2026-12-31 00:00:00+00:00,14.471419801522472,2026,14.89
13,2027-12-31 00:00:00+00:00,15.922712925228096,2027,14.98
14,2028-12-31 00:00:00+00:00,14.466860533457634,2028,15.0
15,2029-12-31 00:00:00+00:00,16.10462628621474,2029,15.14
16,2030-12-31 00:00:00+00:00,14.37268677926636,2030,14.93
17,2031-12-31 00:00:00+00:00,15.651087009915216,2031,14.92
18,2032-12-31 00:00:00+00:00,17.015042897372552,2032,15.18
19,2033-12-31 00:00:00+00:00,16.977835684438617,2033,15.63
20,2034-12-31 00:00:00+00:00,17.131041138613796,2034,15.81
21,2035-12-31 00:00:00+00:00,17.028641484037564,2035,15.91
22,2036-12-31 00:00:00+00:00,16.212267961379666,2036,16.09
23,2037-12-31 00:00:00+00:00,15.789943002051132,2037,16.08
24,2038-12-31 00:00:00+00:00,16.804285061393387,2038,16.31
25,2039-12-31 00:00:00+00:00,17.325182566189824,2039,16.43
26,2040-12-31 00:00:00+00:00,15.696724205312591,2040,16.56
27,2041-12-31 00:00:00+00:00,14.66117320265198,2041,16.46
28,2042-12-31 00:00:00+00:00,15.25828943072304,2042,16.29
29,2043-12-31 00:00:00+00:00,15.544979541194609,2043,16.15
30,2044-12-31 00:00:00+00:00,17.668711402083773,2044,16.2
31,2045-12-31 00:00:00+00:00,16.63666370516603,2045,16.16
32,2046-12-31 00:00:00+00:00,17.44105014173965,2046,16.28
33,2047-12-31 00:00:00+00:00,16.522999038922023,2047,16.36
34,2048-12-31 00:00:00+00:00,17.925896694912865,2048,16.47
35,2049-12-31 00:00:00+00:00,15.22649709616735,2049,16.26
36,2050-12-31 00:00:00+00:00,17.73316858826115,2050,16.46
37,2051-12-31 00:00:00+00:00,16.820701397345545,2051,16.68
38,2052-12-31 00:00:00+00:00,16.077181405031922,2052,16.76
39,2053-12-31 00:00:00+00:00,17.40256785648677,2053,16.95
40,2054-12-31 00:00:00+00:00,17.955501219486166,2054,16.97
41,2055-12-31 00:00:00+00:00,17.853272624100384,2055,17.1
42,2056-12-31 00:00:00+00:00,16.96386063022004,2056,17.05
43,2057-12-31 00:00:00+00:00,17.42359479614271,2057,17.14
44,2058-12-31 00:00:00+00:00,17.299308653374396,2058,17.08
45,2059-12-31 00:00:00+00:00,18.885836780352975,2059,17.44
46,2060-12-31 00:00:00+00:00,17.646208692723178,2060,17.43
47,2061-12-31 00:00:00+00:00,16.320714702464613,2061,17.38
48,2062-12-31 00:00:00+00:00,18.18420430425755,2062,17.59
49,2063-12-31 00:00:00+00:00,19.10301665076429,2063,17.76
50,2064-12-31 00:00:00+00:00,18.386813719336544,2064,17.81
51,2065-12-31 00:00:00+00:00,16.377584274124445,2065,17.66
52,2066-12-31 00:00:00+00:00,17.935097403555062,2066,17.76
53,2067-12-31 00:00:00+00:00,19.174289109244057,2067,17.93
54,2068-12-31 00:00:00+00:00,16.665437030222904,2068,17.87
55,2069-12-31 00:00:00+00:00,18.346929329860014,2069,17.81
56,2070-12-31 00:00:00+00:00,17.727246355370312,2070,17.82
57,2071-12-31 00:00:00+00:00,18.0292773923631,2071,17.99
58,2072-12-31 00:00:00+00:00,17.529384322349017,2072,17.93
59,2073-12-31 00:00:00+00:00,19.7985147143541,2073,18.0
60,2074-12-31 00:00:00+00:00,20.43763808778357,2074,18.2
61,2075-12-31 00:00:00+00:00,18.995955589552068,2075,18.46
62,2076-12-31 00:00:00+00:00,18.26362205348778,2076,18.5
63,2077-12-31 00:00:00+00:00,20.314812525500656,2077,18.61
64,2078-12-31 00:00:00+00:00,19.212391041946375,2078,18.87
65,2079-12-31 00:00:00+00:00,20.066271501497,2079,19.04
66,2080-12-31 00:00:00+00:00,19.37591122135171,2080,19.2
