,year,dew
0,1980,21.443230115361263
1,1981,20.69041095890411
2,1982,21.348706240487065
3,1983,20.2806697108067
4,1984,19.999089253187616
5,1985,20.36910197869102
6,1986,20.5220700152207
7,1987,20.904414003044142
8,1988,20.84608378870674
9,1989,20.204566210045662
10,1990,21.166056166056165
11,1991,20.789193302891935
12,1992,20.755616272009714
13,1993,20.90365296803653
14,1994,20.89453601953602
15,1995,20.527245053272452
16,1996,20.861937830687832
17,1997,20.56166056166056
18,1998,21.921398046398046
19,1999,20.23013698630137
20,2000,20.229395604395606
21,2001,20.628968253968253
22,2002,18.907745336577456
23,2003,19.94767620806402
24,2004,19.262143290831816
25,2005,18.903044140030442
26,2006,19.89756468797565
27,2007,20.235007610350074
28,2008,20.33242258652095
29,2009,21.32283105022831
30,2010,21.662100456621005
31,2011,20.693607305936073
32,2012,20.160595021250757
33,2013,20.659208523592085
34,2014,20.893607305936072
35,2015,21.0427701674277
36,2016,21.030510018214937
37,2017,21.581278538812786
38,2018,21.27853881278539
39,2019,21.783561643835615
40,2020,21.987249544626593
41,2021,22.064992389649927
42,2022,21.539421613394214
43,2023,21.599238964992388
