,year,num_days_above_90
0,1980,122
1,1981,119
2,1982,86
3,1983,56
4,1984,128
5,1985,95
6,1986,102
7,1987,129
8,1988,95
9,1989,102
10,1990,87
11,1991,102
12,1992,101
13,1993,94
14,1994,119
15,1995,137
16,1996,99
17,1997,143
18,1998,141
19,1999,107
20,2000,126
21,2001,116
22,2002,156
23,2003,144
24,2004,147
25,2005,113
26,2006,93
27,2007,133
28,2008,130
29,2009,139
30,2010,151
31,2011,152
32,2012,140
33,2013,127
34,2014,171
35,2015,176
36,2016,168
37,2017,191
38,2018,197
39,2019,145
40,2020,158
41,2021,153
42,2022,140
43,2023,167
