,year,precip
0,1980,1640.586
1,1981,2137.8671999999997
2,1982,2659.761
3,1983,3319.1196
4,1984,2020.0366
5,1985,2561.844
6,1986,1606.423
7,1987,2027.174
8,1988,3089.0209999999997
9,1989,2266.0609999999997
10,1990,2701.0868
11,1991,2648.2547999999997
12,1992,1939.6963999999998
13,1993,2542.2352
14,1994,2483.3833999999997
15,1995,1792.1478
16,1996,317.67779999999993
17,1997,76.327
18,1998,101.77779999999998
19,1999,566.0898
20,2000,2206.7012
21,2001,1195.1716
22,2002,203.6572
23,2003,1253.2105999999999
24,2004,2007.4635999999998
25,2005,2137.0798
26,2006,2824.6832
27,2007,2380.9705999999996
28,2008,2507.361
29,2009,2174.8242
30,2010,3295.6499999999996
31,2011,2758.0335999999998
32,2012,2098.7257999999997
33,2013,2252.6243999999997
34,2014,2197.6587999999997
35,2015,1819.7322
36,2016,3037.3066
37,2017,3055.6454
38,2018,2240.153
39,2019,3779.3929999999996
40,2020,3742.3089999999997
41,2021,3565.2201999999997
42,2022,2693.035
43,2023,3003.5245999999997
