,datetime,tempmin,year,yearly_rolling_avg
10,1990-12-31,16.055555555555557,1990,13.39
11,1991-12-31,12.055555555555557,1991,13.29
12,1992-12-31,13.333333333333334,1992,13.34
13,1993-12-31,15.333333333333334,1993,13.64
14,1994-12-31,13.055555555555555,1994,13.88
15,1995-12-31,13.055555555555555,1995,13.72
16,1996-12-31,19.055555555555557,1996,14.32
17,1997-12-31,16.055555555555557,1997,14.49
18,1998-12-31,15.055555555555555,1998,14.79
19,1999-12-31,17.055555555555557,1999,15.01
20,2000-12-31,16.055555555555557,2000,15.01
21,2001-12-31,16.055555555555557,2001,15.41
22,2002-12-31,13.055555555555555,2002,15.38
23,2003-12-31,12.055555555555557,2003,15.06
24,2004-12-31,-3.555555555555555,2004,13.39
25,2005-12-31,15.055555555555555,2005,13.59
26,2006-12-31,18.055555555555557,2006,13.49
27,2007-12-31,18.055555555555557,2007,13.69
28,2008-12-31,14.055555555555554,2008,13.59
29,2009-12-31,19.055555555555557,2009,13.79
30,2010-12-31,13.444444444444446,2010,13.53
31,2011-12-31,14.166666666666666,2011,13.34
32,2012-12-31,13.444444444444446,2012,13.38
33,2013-12-31,13.333333333333334,2013,13.51
34,2014-12-31,14.055555555555554,2014,15.27
35,2015-12-31,13.666666666666666,2015,15.13
36,2016-12-31,14.555555555555555,2016,14.78
37,2017-12-31,16.0,2017,14.58
38,2018-12-31,16.666666666666668,2018,14.84
39,2019-12-31,14.944444444444445,2019,14.43
40,2020-12-31,15.11111111111111,2020,14.59
41,2021-12-31,17.72222222222222,2021,14.95
42,2022-12-31,15.333333333333334,2022,15.14
43,2023-12-31,17.055555555555557,2023,15.51
44,2024-12-31,17.83333333333333,2024,15.89
