,year,dew
0,2024,21.8246
1,2025,21.6878
2,2026,22.0921
3,2027,22.4404
4,2028,22.1306
5,2029,22.5386
6,2030,22.2787
7,2031,21.7822
8,2032,22.5939
9,2033,22.8192
10,2034,22.4491
11,2035,22.5802
12,2036,23.0274
13,2037,22.3358
14,2038,22.7046
15,2039,22.8222
16,2040,22.428
17,2041,22.7566
18,2042,22.7015
19,2043,23.0414
20,2044,23.3063
21,2045,23.216
22,2046,23.2186
23,2047,23.0576
24,2048,23.5432
25,2049,22.9749
26,2050,23.1563
27,2051,23.2941
28,2052,23.3142
29,2053,23.196
30,2054,24.1976
31,2055,23.4103
32,2056,23.5622
33,2057,23.2287
34,2058,24.4279
35,2059,24.3802
36,2060,23.9437
37,2061,23.8656
38,2062,24.3975
39,2063,24.5212
40,2064,23.7713
41,2065,23.9879
42,2066,24.2364
43,2067,24.5641
44,2068,24.2248
45,2069,24.3224
46,2070,24.3128
47,2071,24.7711
48,2072,24.7009
49,2073,25.1855
50,2074,24.7479
51,2075,25.0606
52,2076,24.713
53,2077,25.1327
54,2078,24.8574
55,2079,25.6736
56,2080,25.112
