,year,num_days_above_90
0,2024,143.0
1,2025,121.0
2,2026,103.0
3,2027,141.0
4,2028,143.0
5,2029,147.0
6,2030,165.0
7,2031,141.0
8,2032,166.0
9,2033,187.0
10,2034,124.0
11,2035,149.0
12,2036,171.0
13,2037,150.0
14,2038,167.0
15,2039,163.0
16,2040,172.0
17,2041,184.0
18,2042,155.0
19,2043,162.0
20,2044,193.0
21,2045,190.0
22,2046,177.0
23,2047,141.0
24,2048,189.0
25,2049,199.0
26,2050,194.0
27,2051,209.0
28,2052,207.0
29,2053,188.0
30,2054,243.0
31,2055,197.0
32,2056,192.0
33,2057,191.0
34,2058,234.0
35,2059,239.0
36,2060,202.0
37,2061,195.0
38,2062,216.0
39,2063,218.0
40,2064,232.0
41,2065,196.0
42,2066,216.0
43,2067,215.0
44,2068,238.0
45,2069,221.0
46,2070,231.0
47,2071,260.0
48,2072,264.0
49,2073,241.0
50,2074,257.0
51,2075,256.0
52,2076,246.0
53,2077,249.0
54,2078,261.0
55,2079,273.0
56,2080,242.0
