name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
mumbai,1980-01-01,80.7,68.1,74.4,82.9,68.1,75,65.6,75,0,0,0,,,,,10.3,1,1012.2,48.8,3,,,,,1980-01-01T07:11:35,1980-01-01T18:12:07,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43003099999
mumbai,1980-01-02,77.1,68.1,72.1,77.1,68.1,72.1,64.9,79.1,0,0,0,,,,,10.3,360,1012.3,32,4,,,,,1980-01-02T07:11:56,1980-01-02T18:12:43,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43003099999
mumbai,1980-01-03,78.9,66.3,72,78.9,66.3,72,59.1,65.8,0,0,0,,,,,12.8,337.4,1013,10,3.6,,,,,1980-01-03T07:12:16,1980-01-03T18:13:20,0.53,Clear,Clear conditions throughout the day.,clear-day,43003099999
mumbai,1980-01-04,86.1,64.5,74.2,85.6,64.5,74.1,61.1,65.8,0,0,0,,,,,9.2,20,1012,1.3,3.9,,,,,1980-01-04T07:12:35,1980-01-04T18:13:57,0.56,Clear,Clear conditions throughout the day.,clear-day,43003099999
mumbai,1980-01-05,86.1,69.9,76.8,88.5,69.9,77.7,64.8,67.4,0,0,0,,,,,4.7,0.7,1012.6,15.7,2.5,,,,,1980-01-05T07:12:52,1980-01-05T18:14:35,0.59,Clear,Clear conditions throughout the day.,clear-day,43003099999
mumbai,1980-01-06,87.9,68.1,77.1,88.6,68.1,77.9,66.5,72.2,0,0,0,,,,,6.9,25.5,1013,11.3,3,,,,,1980-01-06T07:13:09,1980-01-06T18:15:12,0.63,Clear,Clear conditions throughout the day.,clear-day,43003099999
mumbai,1980-01-07,89.7,73.5,81.5,89.7,73.5,82.3,64.2,57.3,0,0,0,,,,,5.8,31.8,1013.9,18.6,4.4,,,,,1980-01-07T07:13:24,1980-01-07T18:15:50,0.66,Clear,Clear conditions throughout the day.,clear-day,43003099999
mumbai,1980-01-08,89.7,73.5,78.9,93.7,73.5,79.6,64.8,62.8,0,0,0,,,,,6.9,357.6,1014.2,41.4,3,,,,,1980-01-08T07:13:38,1980-01-08T18:16:28,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43003099999
mumbai,1980-01-09,87.9,73.5,79.8,92.9,73.5,81.3,67.9,68.1,0,0,0,,,,,28.9,305.3,1013.6,21.3,3,,,,,1980-01-09T07:13:51,1980-01-09T18:17:07,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43003099999
mumbai,1980-01-10,86.1,71.7,77.6,89.6,71.7,78.5,65.4,67.3,0,0,0,,,,,20.8,331,1012.1,18.8,3.3,,,,,1980-01-10T07:14:03,1980-01-10T18:17:45,0.75,Clear,Clear conditions throughout the day.,clear-day,43003099999
mumbai,1980-01-11,86.1,66.3,76.4,85.6,66.3,76.1,60.2,60.2,0,0,0,,,,,10.3,324.5,1011.7,12.5,3.9,,,,,1980-01-11T07:14:13,1980-01-11T18:18:24,0.79,Clear,Clear conditions throughout the day.,clear-day,43003099999
mumbai,1980-01-12,84.3,66.3,74.6,83.2,66.3,74.4,56.6,55.7,0,0,0,,,,,10.3,321.7,1013.6,7.5,4,,,,,1980-01-12T07:14:23,1980-01-12T18:19:02,0.82,Clear,Clear conditions throughout the day.,clear-day,43003099999
mumbai,1980-01-13,84.3,64.5,74.2,84,64.5,74,56.2,55,0,0,0,,,,,11.4,304.1,1013.8,0,2.8,,,,,1980-01-13T07:14:31,1980-01-13T18:19:41,0.85,Clear,Clear conditions throughout the day.,clear-day,43003099999
mumbai,1980-01-14,86.1,69.9,75,85.6,69.9,75.1,60.1,61.2,0,0,0,,,,,6.9,297.9,1014.3,0,3,,,,,1980-01-14T07:14:38,1980-01-14T18:20:20,0.88,Clear,Clear conditions throughout the day.,clear-day,43003099999
mumbai,1980-01-15,84.3,64.5,74.2,83.2,64.5,74,57.5,58.4,0,0,0,,,,,5.8,337.8,1013.7,22.5,3.4,,,,,1980-01-15T07:14:44,1980-01-15T18:20:59,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43003099999
mumbai,1980-01-16,84.3,66.3,75.6,85.2,66.3,76.2,63.7,68.3,0,0,0,,,,,9.2,313,1013.4,0,3.6,,,,,1980-01-16T07:14:48,1980-01-16T18:21:37,0.95,Clear,Clear conditions throughout the day.,clear-day,43003099999
mumbai,1980-01-17,84.3,64.5,75.3,84.5,64.5,75.4,60.9,63.3,0,0,0,,,,,6.9,279.7,1014.1,0,3.6,,,,,1980-01-17T07:14:51,1980-01-17T18:22:16,0.98,Clear,Clear conditions throughout the day.,clear-day,43003099999
mumbai,1980-01-18,86.1,66.3,75.3,85.6,66.3,75.2,58.7,58.5,0,0,0,,,,,9.2,336.1,1014.4,3.8,3.4,,,,,1980-01-18T07:14:53,1980-01-18T18:22:54,0,Clear,Clear conditions throughout the day.,clear-day,43003099999
mumbai,1980-01-19,89.7,68.1,75.6,90.5,68.1,75.4,58.6,57.9,0,0,0,,,,,6.9,341,1016,0,3,,,,,1980-01-19T07:14:54,1980-01-19T18:23:33,0.05,Clear,Clear conditions throughout the day.,clear-day,43003099999
mumbai,1980-01-20,82.5,66.3,73.5,84.1,66.3,73.9,63.7,73.1,0,0,0,,,,,6.9,329.2,1016,0,2.8,,,,,1980-01-20T07:14:53,1980-01-20T18:24:11,0.08,Clear,Clear conditions throughout the day.,clear-day,43003099999
mumbai,1980-01-21,84.3,68.1,74.9,85.2,68.1,75,60.5,62.7,0,0,0,,,,,6.9,335.9,1015.6,0,3.3,,,,,1980-01-21T07:14:51,1980-01-21T18:24:49,0.12,Clear,Clear conditions throughout the day.,clear-day,43003099999
mumbai,1980-01-22,82.5,64.5,73.2,81.3,64.5,73,55.2,56,0,0,0,,,,,12.8,9.5,1015.6,0,3.7,,,,,1980-01-22T07:14:48,1980-01-22T18:25:26,0.15,Clear,Clear conditions throughout the day.,clear-day,43003099999
mumbai,1980-01-23,82.5,66.3,74.7,81.5,66.3,74.5,54,50.7,0,0,0,,,,,9.2,335.7,1013.1,0,4.4,,,,,1980-01-23T07:14:44,1980-01-23T18:26:04,0.19,Clear,Clear conditions throughout the day.,clear-day,43003099999
mumbai,1980-01-24,82.5,60.9,71,81.8,60.9,70.8,58,67.7,0,0,0,,,,,6.9,292.7,1012.1,0,4,,,,,1980-01-24T07:14:38,1980-01-24T18:26:41,0.25,Clear,Clear conditions throughout the day.,clear-day,43003099999
mumbai,1980-01-25,84.3,66.3,76.5,82.8,66.3,76,56.4,52.5,0,0,0,,,,,9.2,351.8,1013,10,3.7,,,,,1980-01-25T07:14:31,1980-01-25T18:27:18,0.26,Clear,Clear conditions throughout the day.,clear-day,43003099999
mumbai,1980-01-26,86.1,68.1,78.3,84.6,68.1,78.4,58.5,52.4,0,0,0,,,,,9.2,270,1013.3,0,3.3,,,,,1980-01-26T07:14:23,1980-01-26T18:27:55,0.29,Clear,Clear conditions throughout the day.,clear-day,43003099999
