,year,num_days_above_90,10_year_rolling_avg
0,1980,16.0,
1,1981,10.0,
2,1982,6.0,
3,1983,25.0,
4,1984,8.0,
5,1985,5.0,
6,1986,8.0,
7,1987,15.0,
8,1988,23.0,
9,1989,13.0,12.9
10,1990,6.0,11.9
11,1991,22.0,13.1
12,1992,7.0,13.2
13,1993,22.0,12.9
14,1994,11.0,13.2
15,1995,17.0,14.4
16,1996,3.0,13.9
17,1997,12.0,13.6
18,1998,9.0,12.2
19,1999,22.0,13.1
20,2000,5.0,13.0
21,2001,13.0,12.1
22,2002,22.0,13.6
23,2003,10.0,12.4
24,2004,2.0,11.5
25,2005,23.0,12.1
26,2006,10.0,12.8
27,2007,7.0,12.3
28,2008,9.0,12.3
29,2009,4.0,10.5
30,2010,29.0,12.9
31,2011,18.0,13.4
32,2012,17.0,12.9
33,2013,14.0,13.3
34,2014,4.0,13.5
35,2015,12.0,12.4
36,2016,18.0,13.2
37,2017,11.0,13.6
38,2018,21.0,14.8
39,2019,15.0,15.9
40,2020,22.0,15.2
41,2021,20.0,15.4
42,2022,15.0,15.2
43,2023,9.0,14.7
0,2024,12.0,15.5
1,2025,19.0,16.2
2,2026,29.0,17.3
3,2027,35.0,19.7
4,2028,29.0,20.5
5,2029,31.0,22.1
6,2030,27.0,22.6
7,2031,24.0,23.0
8,2032,26.0,24.1
9,2033,35.0,26.7
10,2034,34.0,28.9
11,2035,39.0,30.9
12,2036,39.0,31.9
13,2037,30.0,31.4
14,2038,26.0,31.1
15,2039,23.0,30.3
16,2040,27.0,30.3
17,2041,46.0,32.5
18,2042,43.0,34.2
19,2043,32.0,33.9
20,2044,42.0,34.7
21,2045,48.0,35.6
22,2046,44.0,36.1
23,2047,49.0,38.0
24,2048,57.0,41.1
25,2049,41.0,42.9
26,2050,42.0,44.4
27,2051,42.0,44.0
28,2052,54.0,45.1
29,2053,52.0,47.1
30,2054,56.0,48.5
31,2055,71.0,50.8
32,2056,68.0,53.2
33,2057,71.0,55.4
34,2058,67.0,56.4
35,2059,76.0,59.9
36,2060,66.0,62.3
37,2061,56.0,63.7
38,2062,57.0,64.0
39,2063,61.0,64.9
40,2064,66.0,65.9
41,2065,75.0,66.3
42,2066,76.0,67.1
43,2067,60.0,66.0
44,2068,68.0,66.1
45,2069,80.0,66.5
46,2070,73.0,67.2
47,2071,76.0,69.2
48,2072,78.0,71.3
49,2073,83.0,73.5
50,2074,79.0,74.8
51,2075,75.0,74.8
52,2076,82.0,75.4
53,2077,83.0,77.7
54,2078,79.0,78.8
55,2079,73.0,78.1
56,2080,75.0,78.3
