,year,precip,10_year_rolling_avg
0,1980,1025.6774,
1,1981,766.699,
2,1982,853.3638,
3,1983,1259.586,
4,1984,1080.3382,
5,1985,763.9558,
6,1986,860.9075999999999,
7,1987,867.029,
8,1988,834.6185999999999,
9,1989,1127.8362,944.0012
10,1990,997.5088,941.1843
11,1991,783.3614,942.8505
12,1992,729.3356,930.4477
13,1993,900.2521999999999,894.5143
14,1994,938.2252,880.303
15,1995,724.1794,876.3254
16,1996,1118.7684,902.1115
17,1997,1072.3118,922.6398
18,1998,1095.4512,948.723
19,1999,1105.1032,946.4497
20,2000,1082.6242,954.9613
21,2001,844.0419999999999,961.0293
22,2002,1079.5254,996.0483
23,2003,1575.435,1063.5666
24,2004,1325.7784,1102.3219
25,2005,1414.0688,1171.3108
26,2006,1402.3339999999998,1199.6674
27,2007,1474.4446,1239.8807
28,2008,1300.6324,1260.3988
29,2009,1535.557,1303.4442
30,2010,790.3718,1274.2189
31,2011,1801.0377999999998,1369.9185
32,2012,978.2048,1359.7865
33,2013,1129.4109999999998,1315.1841
34,2014,1288.7959999999998,1311.4858
35,2015,1011.4025999999999,1271.2192
36,2016,1032.4338,1234.2292
37,2017,1154.8364,1202.2684
38,2018,1102.741,1182.4792
39,2019,841.2733999999999,1113.0509
40,2020,404.2664,1074.4403
41,2021,546.9128,949.0278
42,2022,775.1572,928.7231
43,2023,416.35679999999996,857.4176
10,2024,1686.395770895774,897.1776
11,2025,1536.6879969044614,949.7062
12,2026,1553.555913285495,1001.8184
13,2027,1547.470443350771,1041.0818
14,2028,1711.0990512416884,1101.9176
15,2029,1668.5533915842734,1184.6456
16,2030,1470.6694626911735,1291.2859
17,2031,1696.3303989968676,1406.2276
18,2032,2038.733528242802,1532.5853
19,2033,2338.594439923395,1724.809
20,2034,1576.9739828527806,1713.8669
21,2035,1635.0059255508345,1723.6987
22,2036,1836.1847512077863,1751.9615
23,2037,1961.6056343781968,1793.3751
24,2038,1675.0704639510673,1789.7722
25,2039,1747.9660483274874,1797.7135
26,2040,1632.5327332653176,1813.8998
27,2041,1559.4517626778038,1800.2119
28,2042,1391.7665530695174,1735.5152
29,2043,1745.1935805732965,1676.1751
30,2044,1749.8116899309996,1693.4589
31,2045,1443.5876916423863,1674.3171
32,2046,1605.2653114270893,1651.2251
33,2047,1287.7701805541583,1583.8416
34,2048,1401.7222046273855,1556.5068
35,2049,1974.150167001444,1579.1252
36,2050,1465.3878857078391,1562.4107
37,2051,1301.7648671162374,1536.642
38,2052,1352.978287217409,1532.7632
39,2053,2100.204785780959,1568.2643
40,2054,1428.3925120247018,1536.1224
41,2055,1429.7254686788856,1534.7362
42,2056,1495.4360065041417,1523.7532
43,2057,1716.6327382526686,1566.6395
44,2058,1386.5893031902278,1565.1262
45,2059,1709.2417126393063,1538.6354
46,2060,2054.0347920515,1597.5
47,2061,1878.8239744485636,1655.206
48,2062,1950.2146505954056,1714.9296
49,2063,1802.9708819526031,1685.2062
50,2064,1839.7648032251388,1726.3434
51,2065,1820.211068076932,1765.392
52,2066,1925.8244174656288,1808.4308
53,2067,1522.1471886705924,1788.9823
54,2068,1355.56003699612,1785.8794
55,2069,1729.395115295912,1787.8947
56,2070,1324.0434535071352,1714.8956
57,2071,1478.0790936886604,1674.8211
58,2072,1569.9045798100872,1636.7901
59,2073,1948.951360421768,1651.3881
60,2074,1888.4498175428296,1656.2566
61,2075,1394.0381018025794,1613.6393
62,2076,1529.2910732969483,1573.986
63,2077,1826.2391145831295,1604.3952
64,2078,2416.1677177750653,1710.4559
65,2079,1958.4153784876355,1733.358
66,2080,2133.7889999994773,1814.3325
