,datetime,tempmax,year,10_year_rolling_avg
0,1980-12-31 00:00:00,36.5,1980,
1,1981-12-31 00:00:00,35.72222222222222,1981,
2,1982-12-31 00:00:00,35.77777777777778,1982,
3,1983-12-31 00:00:00,36.111111111111114,1983,
4,1984-12-31 00:00:00,34.666666666666664,1984,
5,1985-12-31 00:00:00,34.833333333333336,1985,
6,1986-12-31 00:00:00,36.111111111111114,1986,
7,1987-12-31 00:00:00,34.94444444444444,1987,
8,1988-12-31 00:00:00,36.22222222222222,1988,
9,1989-12-31 00:00:00,34.55555555555556,1989,35.5444
10,1990-12-31 00:00:00,34.611111111111114,1990,35.3556
11,1991-12-31 00:00:00,37.5,1991,35.5333
12,1992-12-31 00:00:00,34.44444444444444,1992,35.4
13,1993-12-31 00:00:00,38.22222222222222,1993,35.6111
14,1994-12-31 00:00:00,35.833333333333336,1994,35.7278
15,1995-12-31 00:00:00,38.44444444444444,1995,36.0889
16,1996-12-31 00:00:00,35.611111111111114,1996,36.0389
17,1997-12-31 00:00:00,36.111111111111114,1997,36.1556
18,1998-12-31 00:00:00,34.611111111111114,1998,35.9944
19,1999-12-31 00:00:00,38.05555555555556,1999,36.3444
20,2000-12-31 00:00:00,34.388888888888886,2000,36.3222
21,2001-12-31 00:00:00,38.22222222222222,2001,36.3944
22,2002-12-31 00:00:00,36.388888888888886,2002,36.5889
23,2003-12-31 00:00:00,34.27777777777778,2003,36.1944
24,2004-12-31 00:00:00,34.05555555555556,2004,36.0167
25,2005-12-31 00:00:00,37.05555555555556,2005,35.8778
26,2006-12-31 00:00:00,36.94444444444444,2006,36.0111
27,2007-12-31 00:00:00,33.55555555555556,2007,35.7556
28,2008-12-31 00:00:00,36.05555555555556,2008,35.9
29,2009-12-31 00:00:00,33.22222222222222,2009,35.4167
30,2010-12-31 00:00:00,38.77777777777778,2010,35.8556
31,2011-12-31 00:00:00,39.5,2011,35.9833
32,2012-12-31 00:00:00,37.111111111111114,2012,36.0556
33,2013-12-31 00:00:00,36.44444444444444,2013,36.2722
34,2014-12-31 00:00:00,33.22222222222222,2014,36.1889
35,2015-12-31 00:00:00,35.333333333333336,2015,36.0167
36,2016-12-31 00:00:00,35.5,2016,35.8722
37,2017-12-31 00:00:00,35.44444444444444,2017,36.0611
38,2018-12-31 00:00:00,35.611111111111114,2018,36.0167
39,2019-12-31 00:00:00,36.666666666666664,2019,36.3611
40,2020-12-31 00:00:00,34.94444444444444,2020,35.9778
41,2021-12-31 00:00:00,35.0,2021,35.5278
42,2022-12-31 00:00:00,36.111111111111114,2022,35.4278
43,2023-12-31 00:00:00,33.72222222222222,2023,35.1556
10,2024-12-31 00:00:00+00:00,36.763965079491385,2024,35.5097
11,2025-12-31 00:00:00+00:00,41.30023158675595,2025,36.1064
12,2026-12-31 00:00:00+00:00,38.530583813347704,2026,36.4095
13,2027-12-31 00:00:00+00:00,38.64693527181035,2027,36.7297
14,2028-12-31 00:00:00+00:00,40.605722613816226,2028,37.2292
15,2029-12-31 00:00:00+00:00,40.98526352394481,2029,37.661
16,2030-12-31 00:00:00+00:00,42.43704414542462,2030,38.4103
17,2031-12-31 00:00:00+00:00,35.803962650642674,2031,38.4907
18,2032-12-31 00:00:00+00:00,36.31785708050773,2032,38.5114
19,2033-12-31 00:00:00+00:00,39.53028920865095,2033,39.0922
20,2034-12-31 00:00:00+00:00,40.372527313370824,2034,39.453
21,2035-12-31 00:00:00+00:00,41.02463050248946,2035,39.4255
22,2036-12-31 00:00:00+00:00,39.70087057298685,2036,39.5425
23,2037-12-31 00:00:00+00:00,41.435148848516214,2037,39.8213
24,2038-12-31 00:00:00+00:00,37.07326026829328,2038,39.4681
