,datetime,tempmin,year,10_year_rolling_avg
0,1980-12-31 00:00:00,-17.88888888888889,1980,
1,1981-12-31 00:00:00,-17.555555555555557,1981,
2,1982-12-31 00:00:00,-19.444444444444443,1982,
3,1983-12-31 00:00:00,-16.5,1983,
4,1984-12-31 00:00:00,-16.5,1984,
5,1985-12-31 00:00:00,-20.333333333333332,1985,
6,1986-12-31 00:00:00,-13.777777777777779,1986,
7,1987-12-31 00:00:00,-14.61111111111111,1987,
8,1988-12-31 00:00:00,-14.833333333333334,1988,
9,1989-12-31 00:00:00,-13.88888888888889,1989,-16.5333
10,1990-12-31 00:00:00,-13.222222222222221,1990,-16.0667
11,1991-12-31 00:00:00,-12.666666666666666,1991,-15.5778
12,1992-12-31 00:00:00,-11.833333333333334,1992,-14.8167
13,1993-12-31 00:00:00,-15.055555555555555,1993,-14.6722
14,1994-12-31 00:00:00,-19.166666666666668,1994,-14.9389
15,1995-12-31 00:00:00,-14.944444444444445,1995,-14.4
16,1996-12-31 00:00:00,-14.944444444444445,1996,-14.5167
17,1997-12-31 00:00:00,-15.666666666666666,1997,-14.6222
18,1998-12-31 00:00:00,-9.555555555555555,1998,-14.0944
19,1999-12-31 00:00:00,-13.055555555555555,1999,-14.0111
20,2000-12-31 00:00:00,-15.5,2000,-14.2389
21,2001-12-31 00:00:00,-8.944444444444445,2001,-13.8667
22,2002-12-31 00:00:00,-7.222222222222222,2002,-13.4056
23,2003-12-31 00:00:00,-13.944444444444445,2003,-13.2944
24,2004-12-31 00:00:00,-17.0,2004,-13.0778
25,2005-12-31 00:00:00,-15.166666666666666,2005,-13.1
26,2006-12-31 00:00:00,-9.055555555555555,2006,-12.5111
27,2007-12-31 00:00:00,-12.777777777777779,2007,-12.2222
28,2008-12-31 00:00:00,-11.833333333333334,2008,-12.45
29,2009-12-31 00:00:00,-14.166666666666666,2009,-12.5611
30,2010-12-31 00:00:00,-10.333333333333334,2010,-12.0444
31,2011-12-31 00:00:00,-13.777777777777779,2011,-12.5278
32,2012-12-31 00:00:00,-10.777777777777779,2012,-12.8833
33,2013-12-31 00:00:00,-11.722222222222221,2013,-12.6611
