,year,dew
0,1980,4.40194292653309
1,1981,5.222222222222222
2,1982,5.223592085235921
3,1983,6.1248097412480975
4,1984,6.54143897996357
5,1985,5.636529680365297
6,1986,5.675494672754947
7,1987,6.077168949771689
8,1988,5.161657559198543
9,1989,5.382648401826485
10,1990,6.792085235920853
11,1991,6.478843226788433
12,1992,4.915148755312689
13,1993,5.477777777777778
14,1994,5.0788432267884325
15,1995,4.994216133942161
16,1996,5.466454159077109
17,1997,5.092998477929985
18,1998,6.80882800608828
19,1999,5.985540334855403
20,2000,5.546903460837887
21,2001,6.2336377473363775
22,2002,6.1398782343987826
23,2003,5.870471841704719
24,2004,5.781268973891924
25,2005,5.559512937595129
26,2006,5.680974124809741
27,2007,4.5738203957382035
28,2008,4.572252580449302
29,2009,4.797869101978691
30,2010,5.064231354642313
31,2011,6.169558599695585
32,2012,6.25
33,2013,4.859512937595129
34,2014,3.8788432267884323
35,2015,4.821917808219178
36,2016,5.383120825743776
37,2017,7.007458143074581
38,2018,7.364840182648401
39,2019,6.792389649923896
40,2020,7.530661809350334
41,2021,6.913394216133941
42,2022,5.547488584474886
43,2023,7.093302891933029
