,year,num_days_above_80
0,1980,79
1,1981,69
2,1982,54
3,1983,79
4,1984,64
5,1985,72
6,1986,70
7,1987,67
8,1988,76
9,1989,74
10,1990,74
11,1991,94
12,1992,62
13,1993,84
14,1994,80
15,1995,82
16,1996,52
17,1997,67
18,1998,87
19,1999,78
20,2000,57
21,2001,74
22,2002,86
23,2003,63
24,2004,67
25,2005,96
26,2006,74
27,2007,89
28,2008,82
29,2009,55
30,2010,90
31,2011,86
32,2012,73
33,2013,76
34,2014,70
35,2015,102
36,2016,95
37,2017,91
38,2018,92
39,2019,88
40,2020,90
41,2021,90
42,2022,87
43,2023,83
44,2024,8
