,year,precip
0,1980,1025.6774
1,1981,766.699
2,1982,853.3638
3,1983,1259.586
4,1984,1080.3382
5,1985,763.9558
6,1986,860.9075999999999
7,1987,867.029
8,1988,834.6185999999999
9,1989,1127.8362
10,1990,997.5088
11,1991,783.3614
12,1992,729.3356
13,1993,900.2521999999999
14,1994,938.2252
15,1995,724.1794
16,1996,1118.7684
17,1997,1072.3118
18,1998,1095.4512
19,1999,1105.1032
20,2000,1082.6242
21,2001,844.0419999999999
22,2002,1079.5254
23,2003,1575.435
24,2004,1325.7784
25,2005,1414.0688
26,2006,1402.3339999999998
27,2007,1474.4446
28,2008,1300.6324
29,2009,1535.557
30,2010,790.3718
31,2011,1801.0377999999998
32,2012,978.2048
33,2013,1129.4109999999998
34,2014,1288.7959999999998
35,2015,1011.4025999999999
36,2016,1032.4338
37,2017,1154.8364
38,2018,1102.741
39,2019,841.2733999999999
40,2020,404.2664
41,2021,546.9128
42,2022,775.1572
43,2023,416.35679999999996
