,year,dew
0,2024,7.1206
1,2025,8.7663
2,2026,8.3614
3,2027,8.8429
4,2028,7.4769
5,2029,8.0343
6,2030,6.9669
7,2031,8.2334
8,2032,7.693
9,2033,8.8201
10,2034,8.9929
11,2035,7.6959
12,2036,8.8969
13,2037,8.8737
14,2038,8.566
15,2039,7.3948
16,2040,8.1871
17,2041,8.8245
18,2042,7.4136
19,2043,10.1369
20,2044,9.0157
21,2045,8.898
22,2046,7.5523
23,2047,8.8887
24,2048,8.5703
25,2049,9.5761
26,2050,8.3639
27,2051,7.9603
28,2052,9.2402
29,2053,9.4485
30,2054,10.0861
31,2055,9.7698
32,2056,10.75
33,2057,10.0079
34,2058,9.627
35,2059,9.9499
36,2060,9.8469
37,2061,9.1896
38,2062,8.9723
39,2063,10.32
40,2064,9.8138
41,2065,10.5278
42,2066,10.871
43,2067,9.5761
44,2068,11.6287
45,2069,11.5855
46,2070,10.6403
47,2071,11.5432
48,2072,10.7715
49,2073,10.8327
50,2074,10.3856
51,2075,10.72
52,2076,10.5632
53,2077,11.3574
54,2078,11.6221
55,2079,11.5593
56,2080,11.6932
