,year,num_days_above_100
0,2025,5.0
1,2026,3.0
2,2027,3.0
3,2028,3.0
4,2029,4.0
5,2030,6.0
6,2031,5.0
7,2032,0.0
8,2033,0.0
9,2034,5.0
10,2035,8.0
11,2036,4.0
12,2037,3.0
13,2038,2.0
14,2039,1.0
15,2040,2.0
16,2041,6.0
17,2042,7.0
18,2043,6.0
19,2044,7.0
20,2045,7.0
21,2046,9.0
22,2047,11.0
23,2048,12.0
24,2049,11.0
25,2050,12.0
26,2051,10.0
27,2052,15.0
28,2053,14.0
29,2054,19.0
30,2055,28.0
31,2056,21.0
32,2057,21.0
33,2058,15.0
34,2059,15.0
35,2060,16.0
36,2061,16.0
37,2062,18.0
38,2063,17.0
39,2064,24.0
40,2065,25.0
41,2066,15.0
42,2067,14.0
43,2068,26.0
44,2069,28.0
45,2070,26.0
46,2071,37.0
47,2072,30.0
48,2073,34.0
49,2074,34.0
50,2075,35.0
51,2076,44.0
52,2077,41.0
53,2078,39.0
54,2079,29.0
55,2080,31.0
