,datetime,tempmin,year,10_year_rolling_avg
10,2024-12-31 00:00:00+00:00,-7.515662118674045,2024,-15.54
11,2025-12-31 00:00:00+00:00,-23.98802898217953,2025,-16.04
12,2026-12-31 00:00:00+00:00,-12.549956716128774,2026,-16.07
13,2027-12-31 00:00:00+00:00,-13.42892314419641,2027,-15.87
14,2028-12-31 00:00:00+00:00,-13.155431365362864,2028,-15.62
15,2029-12-31 00:00:00+00:00,-15.518768887978084,2029,-15.39
16,2030-12-31 00:00:00+00:00,-21.15239839789465,2030,-16.27
17,2031-12-31 00:00:00+00:00,-7.805746580843385,2031,-15.01
18,2032-12-31 00:00:00+00:00,-13.67800881402967,2032,-15.22
19,2033-12-31 00:00:00+00:00,-14.075623062602094,2033,-14.29
20,2034-12-31 00:00:00+00:00,-11.199701043341458,2034,-14.66
21,2035-12-31 00:00:00+00:00,-12.508964938237238,2035,-13.51
22,2036-12-31 00:00:00+00:00,-8.764167325784197,2036,-13.13
23,2037-12-31 00:00:00+00:00,-15.49705185990849,2037,-13.34
24,2038-12-31 00:00:00+00:00,-14.271617841239207,2038,-13.45
25,2039-12-31 00:00:00+00:00,-11.36631694384802,2039,-13.03
26,2040-12-31 00:00:00+00:00,-16.623071050123272,2040,-12.58
27,2041-12-31 00:00:00+00:00,-15.38607973553021,2041,-13.34
28,2042-12-31 00:00:00+00:00,-10.181270524974025,2042,-12.99
29,2043-12-31 00:00:00+00:00,-7.496663890684596,2043,-12.33
30,2044-12-31 00:00:00+00:00,-6.9375300825581245,2044,-11.9
31,2045-12-31 00:00:00+00:00,-9.48131340393405,2045,-11.6
32,2046-12-31 00:00:00+00:00,-9.336550278127053,2046,-11.66
33,2047-12-31 00:00:00+00:00,-8.571720761309647,2047,-10.97
34,2048-12-31 00:00:00+00:00,-13.469177770201046,2048,-10.88
35,2049-12-31 00:00:00+00:00,-9.505118727289206,2049,-10.7
36,2050-12-31 00:00:00+00:00,-9.617419542983262,2050,-10.0
37,2051-12-31 00:00:00+00:00,-10.380307705230068,2051,-9.5
38,2052-12-31 00:00:00+00:00,-14.624248447707998,2052,-9.94
39,2053-12-31 00:00:00+00:00,-16.349353048390682,2053,-10.83
40,2054-12-31 00:00:00+00:00,-10.421899333753371,2054,-11.18
41,2055-12-31 00:00:00+00:00,-7.26389485024848,2055,-10.95
42,2056-12-31 00:00:00+00:00,-11.916865397192057,2056,-11.21
43,2057-12-31 00:00:00+00:00,-6.02832260408894,2057,-10.96
44,2058-12-31 00:00:00+00:00,-7.897940635890914,2058,-10.4
45,2059-12-31 00:00:00+00:00,-9.463849755058185,2059,-10.4
46,2060-12-31 00:00:00+00:00,-5.251990776656754,2060,-9.96
47,2061-12-31 00:00:00+00:00,-16.398827731248232,2061,-10.56
48,2062-12-31 00:00:00+00:00,-7.757601656738407,2062,-9.88
49,2063-12-31 00:00:00+00:00,-5.657876421930686,2063,-8.81
50,2064-12-31 00:00:00+00:00,-5.866480920592707,2064,-8.35
51,2065-12-31 00:00:00+00:00,-3.78953259347624,2065,-8.0
52,2066-12-31 00:00:00+00:00,-4.640871753673084,2066,-7.28
53,2067-12-31 00:00:00+00:00,-2.952493255905654,2067,-6.97
54,2068-12-31 00:00:00+00:00,-4.433470618203531,2068,-6.62
55,2069-12-31 00:00:00+00:00,-5.650594311020906,2069,-6.24
56,2070-12-31 00:00:00+00:00,-6.204709667691642,2070,-6.34
57,2071-12-31 00:00:00+00:00,-9.543931824998262,2071,-5.65
58,2072-12-31 00:00:00+00:00,-9.365678778699449,2072,-5.81
59,2073-12-31 00:00:00+00:00,-13.606482925137463,2073,-6.61
60,2074-12-31 00:00:00+00:00,-4.316680884881966,2074,-6.45
61,2075-12-31 00:00:00+00:00,-3.0705017803290326,2075,-6.38
62,2076-12-31 00:00:00+00:00,-9.911188629995593,2076,-6.91
63,2077-12-31 00:00:00+00:00,-4.47738007575739,2077,-7.06
64,2078-12-31 00:00:00+00:00,-2.660192457707851,2078,-6.88
65,2079-12-31 00:00:00+00:00,-4.347788669189362,2079,-6.75
66,2080-12-31 00:00:00+00:00,-4.156251123549284,2080,-6.55
