,year,dew,10_year_rolling_avg
0,1980,6.041742562234366,
1,1981,6.0429223744292235,
2,1982,6.6966514459665145,
3,1983,6.607458143074581,
4,1984,5.80069823922283,
5,1985,5.643226788432268,
6,1986,5.140334855403348,
7,1987,5.702891933028919,
8,1988,6.3855494839101405,
9,1989,6.593150684931507,6.0655
10,1990,6.33531202435312,6.0948
11,1991,6.182191780821918,6.1087
12,1992,6.492714025500911,6.0884
13,1993,5.9628614916286145,6.0239
14,1994,6.714155251141552,6.1152
15,1995,6.312176560121765,6.1821
16,1996,5.166970248937462,6.1848
17,1997,6.73607305936073,6.2881
18,1998,6.783409436834094,6.3279
19,1999,6.843101343101344,6.3529
20,2000,6.879022465088039,6.4073
21,2001,6.636834094368341,6.4527
22,2002,7.288127853881278,6.5323
23,2003,6.397564687975647,6.5757
24,2004,6.989526411657558,6.6033
25,2005,6.807914764079147,6.6529
26,2006,7.112633181126332,6.8474
27,2007,7.021917808219178,6.876
28,2008,6.662568306010929,6.8639
29,2009,6.726027397260274,6.8522
30,2010,5.501217656012177,6.7144
31,2011,7.260882800608828,6.7768
32,2012,6.467820279295689,6.6948
33,2013,6.102739726027397,6.6653
34,2014,7.553272450532725,6.7217
35,2015,6.862861491628615,6.7272
36,2016,7.169854280510018,6.7329
37,2017,7.284779299847793,6.7592
38,2018,6.964383561643835,6.7894
39,2019,7.008675799086758,6.8176
40,2020,7.095324833029751,6.9771
41,2021,7.010958904109589,6.9521
42,2022,7.068188736681887,7.0121
43,2023,7.888736681887366,7.1907
0,2024,7.5649,7.1919
1,2025,7.4858,7.2542
2,2026,7.7908,7.3163
3,2027,7.8885,7.3766
4,2028,7.0718,7.3874
5,2029,7.0603,7.3925
6,2030,8.3595,7.5189
7,2031,7.9537,7.6132
8,2032,7.559,7.6623
9,2033,7.2537,7.5988
10,2034,8.1171,7.654
11,2035,8.296,7.735
12,2036,7.55,7.711
13,2037,7.8108,7.7032
14,2038,7.6444,7.7604
15,2039,7.9032,7.8447
16,2040,8.4217,7.851
17,2041,8.2986,7.8854
18,2042,9.3362,8.0632
19,2043,8.3454,8.1723
20,2044,7.5737,8.118
21,2045,7.3286,8.0213
22,2046,7.9104,8.0573
23,2047,8.4144,8.1177
24,2048,8.663,8.2195
25,2049,7.9662,8.2258
26,2050,8.2114,8.2048
27,2051,8.3806,8.213
28,2052,8.542,8.1336
29,2053,9.1603,8.2151
30,2054,8.8918,8.3469
31,2055,8.6737,8.4814
32,2056,9.04,8.5943
33,2057,9.1853,8.6714
34,2058,9.183,8.7234
35,2059,9.2804,8.8549
36,2060,8.3852,8.8722
37,2061,9.6491,8.9991
38,2062,9.0979,9.0547
39,2063,8.7234,9.011
40,2064,8.7204,8.9938
41,2065,8.5085,8.9773
42,2066,8.7054,8.9439
43,2067,9.491,8.9744
44,2068,9.1725,8.9734
45,2069,8.9528,8.9406
46,2070,8.684,8.9705
47,2071,8.874,8.893
48,2072,9.2168,8.9049
49,2073,9.9855,9.0311
50,2074,9.1049,9.0695
51,2075,9.1564,9.1343
52,2076,9.6528,9.2291
53,2077,9.2617,9.2061
54,2078,8.9055,9.1794
55,2079,9.7988,9.264
56,2080,9.7941,9.375
