,year,num_days_above_80,10_year_rolling_avg
0,1980,3.0,
1,1981,2.0,
2,1982,5.0,
3,1983,17.0,
4,1984,8.0,
5,1985,1.0,
6,1986,5.0,
7,1987,3.0,
8,1988,1.0,
9,1989,14.0,5.9
10,1990,10.0,6.6
11,1991,1.0,6.5
12,1992,1.0,6.1
13,1993,0.0,4.4
14,1994,7.0,4.3
15,1995,25.0,6.7
16,1996,7.0,6.9
17,1997,9.0,7.5
18,1998,3.0,7.7
19,1999,6.0,6.9
20,2000,2.0,6.1
21,2001,10.0,7.0
22,2002,2.0,7.1
23,2003,13.0,8.4
24,2004,5.0,8.2
25,2005,11.0,6.8
26,2006,16.0,7.7
27,2007,1.0,6.9
28,2008,1.0,6.7
29,2009,4.0,6.5
30,2010,2.0,6.5
31,2011,4.0,5.9
32,2012,2.0,5.9
33,2013,11.0,5.7
34,2014,3.0,5.5
35,2015,3.0,4.7
36,2016,5.0,3.6
37,2017,7.0,4.2
38,2018,21.0,6.2
39,2019,8.0,6.6
40,2020,13.0,7.7
41,2021,9.0,8.2
42,2022,16.0,9.6
43,2023,10.0,9.5
0,2024,0.0,9.2
1,2025,18.0,10.7
2,2026,27.0,12.9
3,2027,8.0,13.0
4,2028,18.0,12.7
5,2029,8.0,12.7
6,2030,2.0,11.6
7,2031,3.0,11.0
8,2032,13.0,10.7
9,2033,27.0,12.4
10,2034,21.0,14.5
11,2035,18.0,14.5
12,2036,12.0,13.0
13,2037,9.0,13.1
14,2038,15.0,12.8
15,2039,22.0,14.2
16,2040,17.0,15.7
17,2041,14.0,16.8
18,2042,24.0,17.9
19,2043,31.0,18.3
20,2044,26.0,18.8
21,2045,16.0,18.6
22,2046,18.0,19.2
23,2047,25.0,20.8
24,2048,31.0,22.4
25,2049,17.0,21.9
26,2050,28.0,23.0
27,2051,41.0,25.7
28,2052,35.0,26.8
29,2053,40.0,27.7
30,2054,48.0,29.9
31,2055,38.0,32.1
32,2056,47.0,35.0
33,2057,50.0,37.5
34,2058,40.0,38.4
35,2059,42.0,40.9
36,2060,64.0,44.5
37,2061,44.0,44.8
38,2062,25.0,43.8
39,2063,42.0,44.0
40,2064,44.0,43.6
41,2065,49.0,44.7
42,2066,42.0,44.2
43,2067,50.0,44.2
44,2068,49.0,45.1
45,2069,50.0,45.9
46,2070,52.0,44.7
47,2071,49.0,45.2
48,2072,43.0,47.0
49,2073,41.0,46.9
50,2074,31.0,45.6
51,2075,53.0,46.0
52,2076,59.0,47.7
53,2077,69.0,49.6
54,2078,67.0,51.4
55,2079,71.0,53.5
56,2080,66.0,54.9
