,datetime,tempmax,year,10_year_rolling_avg
10,1990-12-31 00:00:00,34.833333333333336,1990,29.5
11,1991-12-31 00:00:00,27.61111111111111,1991,29.51
12,1992-12-31 00:00:00,28.77777777777778,1992,29.66
13,1993-12-31 00:00:00,26.27777777777778,1993,29.14
14,1994-12-31 00:00:00,30.0,1994,29.25
15,1995-12-31 00:00:00,32.55555555555556,1995,29.71
16,1996-12-31 00:00:00,30.38888888888889,1996,29.86
17,1997-12-31 00:00:00,29.88888888888889,1997,30.06
18,1998-12-31 00:00:00,27.944444444444443,1998,30.0
19,1999-12-31 00:00:00,29.055555555555557,1999,29.73
20,2000-12-31 00:00:00,29.11111111111111,2000,29.16
21,2001-12-31 00:00:00,30.61111111111111,2001,29.46
22,2002-12-31 00:00:00,28.61111111111111,2002,29.44
23,2003-12-31 00:00:00,33.55555555555556,2003,30.17
24,2004-12-31 00:00:00,28.111111111111107,2004,29.98
25,2005-12-31 00:00:00,29.88888888888889,2005,29.72
26,2006-12-31 00:00:00,34.05555555555556,2006,30.08
27,2007-12-31 00:00:00,27.333333333333332,2007,29.83
28,2008-12-31 00:00:00,27.055555555555557,2008,29.74
29,2009-12-31 00:00:00,29.61111111111111,2009,29.79
30,2010-12-31 00:00:00,27.333333333333332,2010,29.62
31,2011-12-31 00:00:00,27.22222222222222,2011,29.28
32,2012-12-31 00:00:00,27.444444444444446,2012,29.16
33,2013-12-31 00:00:00,30.944444444444443,2013,28.9
34,2014-12-31 00:00:00,27.722222222222225,2014,28.86
35,2015-12-31 00:00:00,32.72222222222222,2015,29.14
36,2016-12-31 00:00:00,31.88888888888889,2016,28.93
37,2017-12-31 00:00:00,31.666666666666668,2017,29.36
38,2018-12-31 00:00:00,31.333333333333332,2018,29.79
39,2019-12-31 00:00:00,34.388888888888886,2019,30.27
40,2020-12-31 00:00:00,34.666666666666664,2020,31.0
41,2021-12-31 00:00:00,29.666666666666668,2021,31.24
42,2022-12-31 00:00:00,36.94444444444444,2022,32.19
43,2023-12-31 00:00:00,30.61111111111111,2023,32.16
10,2024-12-31 00:00:00+00:00,25.877844641944648,2024,29.99
11,2025-12-31 00:00:00+00:00,34.2491329396089,2025,30.63
12,2026-12-31 00:00:00+00:00,31.65601059058622,2026,31.03
13,2027-12-31 00:00:00+00:00,30.939718550981752,2027,31.25
14,2028-12-31 00:00:00+00:00,34.01170481051054,2028,31.71
15,2029-12-31 00:00:00+00:00,27.26913682413283,2029,31.22
16,2030-12-31 00:00:00+00:00,28.201743499767872,2030,30.36
17,2031-12-31 00:00:00+00:00,31.931970956178706,2031,30.66
18,2032-12-31 00:00:00+00:00,31.02243776980822,2032,30.97
19,2033-12-31 00:00:00+00:00,37.79156914551959,2033,31.3
20,2034-12-31 00:00:00+00:00,33.143200746309276,2034,32.02
21,2035-12-31 00:00:00+00:00,31.088198622647496,2035,31.71
22,2036-12-31 00:00:00+00:00,29.9168663773612,2036,31.53
23,2037-12-31 00:00:00+00:00,34.00283187809896,2037,31.84
24,2038-12-31 00:00:00+00:00,31.76711260834395,2038,31.61
25,2039-12-31 00:00:00+00:00,35.46396577536211,2039,32.43
26,2040-12-31 00:00:00+00:00,30.446877469875517,2040,32.66
27,2041-12-31 00:00:00+00:00,34.64272371341417,2041,32.93
28,2042-12-31 00:00:00+00:00,37.49475719308885,2042,33.58
29,2043-12-31 00:00:00+00:00,36.08088527475434,2043,33.4
30,2044-12-31 00:00:00+00:00,30.6880533839244,2044,33.16
31,2045-12-31 00:00:00+00:00,33.56698112026743,2045,33.41
32,2046-12-31 00:00:00+00:00,36.673339948795046,2046,34.08
33,2047-12-31 00:00:00+00:00,38.64895129069009,2047,34.55
34,2048-12-31 00:00:00+00:00,30.40172432713689,2048,34.41
35,2049-12-31 00:00:00+00:00,32.937705378758665,2049,34.16
36,2050-12-31 00:00:00+00:00,33.99481106796247,2050,34.51
37,2051-12-31 00:00:00+00:00,34.85286263986927,2051,34.53
38,2052-12-31 00:00:00+00:00,41.39762558301345,2052,34.92
39,2053-12-31 00:00:00+00:00,38.22647697487832,2053,35.14
40,2054-12-31 00:00:00+00:00,33.62329727343695,2054,35.43
41,2055-12-31 00:00:00+00:00,37.37677537528316,2055,35.81
42,2056-12-31 00:00:00+00:00,36.627004013045735,2056,35.81
43,2057-12-31 00:00:00+00:00,31.36902693335469,2057,35.08
44,2058-12-31 00:00:00+00:00,34.23700211589289,2058,35.46
45,2059-12-31 00:00:00+00:00,34.320066257528424,2059,35.6
46,2060-12-31 00:00:00+00:00,39.41241341634168,2060,36.14
47,2061-12-31 00:00:00+00:00,27.988150614232836,2061,35.46
48,2062-12-31 00:00:00+00:00,33.08988365324558,2062,34.63
49,2063-12-31 00:00:00+00:00,35.65406784084985,2063,34.37
50,2064-12-31 00:00:00+00:00,36.53724493056325,2064,34.66
51,2065-12-31 00:00:00+00:00,35.35524930246197,2065,34.46
52,2066-12-31 00:00:00+00:00,37.40559056507777,2066,34.54
53,2067-12-31 00:00:00+00:00,35.63368642446653,2067,34.96
54,2068-12-31 00:00:00+00:00,42.901494209167595,2068,35.83
55,2069-12-31 00:00:00+00:00,38.07358629823443,2069,36.21
56,2070-12-31 00:00:00+00:00,37.02921413724334,2070,35.97
57,2071-12-31 00:00:00+00:00,33.81963764243369,2071,36.55
58,2072-12-31 00:00:00+00:00,43.29747636560978,2072,37.57
59,2073-12-31 00:00:00+00:00,31.451553233704317,2073,37.15
60,2074-12-31 00:00:00+00:00,37.73178468540573,2074,37.27
61,2075-12-31 00:00:00+00:00,34.82168118564891,2075,37.22
62,2076-12-31 00:00:00+00:00,38.27091559916062,2076,37.3
63,2077-12-31 00:00:00+00:00,42.48141270340102,2077,37.99
64,2078-12-31 00:00:00+00:00,40.76242882619226,2078,37.77
65,2079-12-31 00:00:00+00:00,42.53512675876027,2079,38.22
66,2080-12-31 00:00:00+00:00,35.15580726348162,2080,38.03
