,datetime,tempmin,year,10_year_rolling_avg
10,1990-12-31 00:00:00,-4.111111111111111,1990,-8.98
11,1991-12-31 00:00:00,-8.5,1991,-8.09
12,1992-12-31 00:00:00,-6.888888888888888,1992,-6.96
13,1993-12-31 00:00:00,-4.666666666666666,1993,-6.61
14,1994-12-31 00:00:00,-7.277777777777778,1994,-6.97
15,1995-12-31 00:00:00,-7.222222222222222,1995,-6.78
16,1996-12-31 00:00:00,-5.555555555555555,1996,-6.34
17,1997-12-31 00:00:00,-7.888888888888889,1997,-6.06
18,1998-12-31 00:00:00,-5.0,1998,-6.17
19,1999-12-31 00:00:00,-8.722222222222221,1999,-6.58
20,2000-12-31 00:00:00,-6.944444444444445,2000,-6.87
21,2001-12-31 00:00:00,-6.0,2001,-6.62
22,2002-12-31 00:00:00,-6.277777777777778,2002,-6.56
23,2003-12-31 00:00:00,-6.166666666666668,2003,-6.71
24,2004-12-31 00:00:00,-5.277777777777778,2004,-6.51
25,2005-12-31 00:00:00,-5.888888888888889,2005,-6.37
26,2006-12-31 00:00:00,-5.944444444444445,2006,-6.41
27,2007-12-31 00:00:00,-5.666666666666667,2007,-6.19
28,2008-12-31 00:00:00,-6.0555555555555545,2008,-6.29
29,2009-12-31 00:00:00,-8.166666666666666,2009,-6.24
30,2010-12-31 00:00:00,-12.0,2010,-6.74
31,2011-12-31 00:00:00,-4.944444444444444,2011,-6.64
32,2012-12-31 00:00:00,-9.722222222222221,2012,-6.98
33,2013-12-31 00:00:00,-4.777777777777779,2013,-6.84
34,2014-12-31 00:00:00,-4.0,2014,-6.72
35,2015-12-31 00:00:00,-5.777777777777777,2015,-6.71
36,2016-12-31 00:00:00,-5.555555555555555,2016,-6.67
37,2017-12-31 00:00:00,-5.499999999999999,2017,-6.65
38,2018-12-31 00:00:00,-6.611111111111111,2018,-6.71
39,2019-12-31 00:00:00,-7.222222222222222,2019,-6.61
40,2020-12-31 00:00:00,-2.7777777777777777,2020,-5.69
41,2021-12-31 00:00:00,-6.0555555555555545,2021,-5.8
42,2022-12-31 00:00:00,-11.055555555555555,2022,-5.93
43,2023-12-31 00:00:00,-7.444444444444445,2023,-6.2
44,2024-12-31 00:00:00,-7.555555555555555,2024,-6.56
10,2024-12-31 00:00:00+00:00,-2.652525661938597,2024,-4.14
11,2025-12-31 00:00:00+00:00,-3.612208690543497,2025,-3.8
12,2026-12-31 00:00:00+00:00,-1.9424227794700215,2026,-3.54
13,2027-12-31 00:00:00+00:00,-3.0989413562361108,2027,-3.53
14,2028-12-31 00:00:00+00:00,-8.326900499688747,2028,-4.05
15,2029-12-31 00:00:00+00:00,-8.220110538923507,2029,-4.44
16,2030-12-31 00:00:00+00:00,-1.9664608584184435,2030,-4.3
17,2031-12-31 00:00:00+00:00,-3.665773378550398,2031,-4.33
18,2032-12-31 00:00:00+00:00,-2.701477678026407,2032,-4.33
19,2033-12-31 00:00:00+00:00,-3.901285913169829,2033,-4.01
20,2034-12-31 00:00:00+00:00,-4.060526888826928,2034,-4.15
21,2035-12-31 00:00:00+00:00,-3.6306432379355726,2035,-4.15
22,2036-12-31 00:00:00+00:00,-4.168424322859664,2036,-4.37
23,2037-12-31 00:00:00+00:00,-2.4646224605625378,2037,-4.31
24,2038-12-31 00:00:00+00:00,-5.465773261713025,2038,-4.02
25,2039-12-31 00:00:00+00:00,-1.7574305433735304,2039,-3.38
26,2040-12-31 00:00:00+00:00,-2.9641360475262104,2040,-3.48
27,2041-12-31 00:00:00+00:00,-5.705172391268945,2041,-3.68
28,2042-12-31 00:00:00+00:00,-3.375706731634665,2042,-3.75
29,2043-12-31 00:00:00+00:00,-3.739185591250816,2043,-3.73
30,2044-12-31 00:00:00+00:00,-3.717130473438005,2044,-3.7
31,2045-12-31 00:00:00+00:00,-2.468427635698106,2045,-3.58
32,2046-12-31 00:00:00+00:00,-6.071230087650065,2046,-3.77
33,2047-12-31 00:00:00+00:00,-4.30636044488503,2047,-3.96
34,2048-12-31 00:00:00+00:00,-2.838695509837038,2048,-3.69
35,2049-12-31 00:00:00+00:00,-2.7379704127276057,2049,-3.79
36,2050-12-31 00:00:00+00:00,-2.099404885919298,2050,-3.71
37,2051-12-31 00:00:00+00:00,-2.860606783503755,2051,-3.42
38,2052-12-31 00:00:00+00:00,-2.9465729429220744,2052,-3.38
39,2053-12-31 00:00:00+00:00,-2.504266552062731,2053,-3.26
40,2054-12-31 00:00:00+00:00,-2.7404497614364516,2054,-3.16
41,2055-12-31 00:00:00+00:00,-2.9072153658267723,2055,-3.2
42,2056-12-31 00:00:00+00:00,-2.303429840579355,2056,-2.82
43,2057-12-31 00:00:00+00:00,-2.603275130112422,2057,-2.65
44,2058-12-31 00:00:00+00:00,-2.5745967054844243,2058,-2.63
45,2059-12-31 00:00:00+00:00,-3.636474841363622,2059,-2.72
46,2060-12-31 00:00:00+00:00,-3.135666574981144,2060,-2.82
47,2061-12-31 00:00:00+00:00,-3.0582354905349405,2061,-2.84
48,2062-12-31 00:00:00+00:00,-3.886411598848469,2062,-2.94
49,2063-12-31 00:00:00+00:00,-5.335027765283087,2063,-3.22
50,2064-12-31 00:00:00+00:00,-0.5802734294346621,2064,-3.0
51,2065-12-31 00:00:00+00:00,-2.061006438310855,2065,-2.92
52,2066-12-31 00:00:00+00:00,-2.434334562618062,2066,-2.93
53,2067-12-31 00:00:00+00:00,-3.667120146299141,2067,-3.04
54,2068-12-31 00:00:00+00:00,-2.360304956546429,2068,-3.02
55,2069-12-31 00:00:00+00:00,-3.0044848356792784,2069,-2.95
56,2070-12-31 00:00:00+00:00,-3.0596155503373836,2070,-2.94
57,2071-12-31 00:00:00+00:00,-1.097684987218173,2071,-2.75
58,2072-12-31 00:00:00+00:00,-2.666370510535444,2072,-2.63
59,2073-12-31 00:00:00+00:00,-3.269447072316325,2073,-2.42
60,2074-12-31 00:00:00+00:00,-2.1621309209228627,2074,-2.58
61,2075-12-31 00:00:00+00:00,-1.791986997812444,2075,-2.55
62,2076-12-31 00:00:00+00:00,-0.4585791159947341,2076,-2.35
63,2077-12-31 00:00:00+00:00,-1.9732817272141148,2077,-2.18
64,2078-12-31 00:00:00+00:00,-2.1503815063527014,2078,-2.16
65,2079-12-31 00:00:00+00:00,-4.4226220133886045,2079,-2.31
66,2080-12-31 00:00:00+00:00,0.2730510970136244,2080,-1.97
