,year,dew
0,1980,6.041742562234366
1,1981,6.0429223744292235
2,1982,6.6966514459665145
3,1983,6.607458143074581
4,1984,5.80069823922283
5,1985,5.643226788432268
6,1986,5.140334855403348
7,1987,5.702891933028919
8,1988,6.3855494839101405
9,1989,6.593150684931507
10,1990,6.33531202435312
11,1991,6.182191780821918
12,1992,6.492714025500911
13,1993,5.9628614916286145
14,1994,6.714155251141552
15,1995,6.312176560121765
16,1996,5.166970248937462
17,1997,6.73607305936073
18,1998,6.783409436834094
19,1999,6.843101343101344
20,2000,6.879022465088039
21,2001,6.636834094368341
22,2002,7.288127853881278
23,2003,6.397564687975647
24,2004,6.989526411657558
25,2005,6.807914764079147
26,2006,7.112633181126332
27,2007,7.021917808219178
28,2008,6.662568306010929
29,2009,6.726027397260274
30,2010,5.501217656012177
31,2011,7.260882800608828
32,2012,6.467820279295689
33,2013,6.102739726027397
34,2014,7.553272450532725
35,2015,6.862861491628615
36,2016,7.169854280510018
37,2017,7.284779299847793
38,2018,6.964383561643835
39,2019,7.008675799086758
40,2020,7.095324833029751
41,2021,7.010958904109589
42,2022,7.068188736681887
43,2023,7.888736681887366
