,year,precip
0,1980,213.5632
1,1981,178.40959999999998
2,1982,425.7294
3,1983,256.1844
4,1984,276.1742
5,1985,312.0644
6,1986,297.4848
7,1987,257.9878
8,1988,243.50979999999998
9,1989,265.7602
10,1990,237.26139999999998
11,1991,264.1346
12,1992,309.80379999999997
13,1993,383.4892
14,1994,366.2426
15,1995,328.57439999999997
16,1996,196.2404
17,1997,317.42379999999997
18,1998,349.3262
19,1999,203.2508
20,2000,877.9763999999999
21,2001,746.5568
22,2002,790.3718
23,2003,523.5956
24,2004,673.1
25,2005,482.5746
26,2006,646.0744
27,2007,797.6361999999999
28,2008,1083.31
29,2009,655.6755999999999
30,2010,632.2822
31,2011,468.8332
32,2012,877.7224
33,2013,631.5964
34,2014,1405.8899999999999
35,2015,722.8331999999999
36,2016,661.1111999999999
37,2017,749.3254
38,2018,1072.9976
39,2019,773.9634
40,2020,746.3027999999999
41,2021,592.582
42,2022,563.8546
43,2023,819.0992
