,datetime,tempmax,year
0,1980-12-31,27.555555555555554,1980
1,1981-12-31,27.5,1981
2,1982-12-31,27.277777777777775,1982
3,1983-12-31,31.444444444444443,1983
4,1984-12-31,28.944444444444443,1984
5,1985-12-31,28.000000000000004,1985
6,1986-12-31,28.88888888888889,1986
7,1987-12-31,27.88888888888889,1987
8,1988-12-31,28.5,1988
9,1989-12-31,31.72222222222222,1989
10,1990-12-31,34.833333333333336,1990
11,1991-12-31,27.61111111111111,1991
12,1992-12-31,28.77777777777778,1992
13,1993-12-31,26.27777777777778,1993
14,1994-12-31,30.0,1994
15,1995-12-31,32.55555555555556,1995
16,1996-12-31,30.38888888888889,1996
17,1997-12-31,29.88888888888889,1997
18,1998-12-31,27.944444444444443,1998
19,1999-12-31,29.055555555555557,1999
20,2000-12-31,29.11111111111111,2000
21,2001-12-31,30.61111111111111,2001
22,2002-12-31,28.61111111111111,2002
23,2003-12-31,33.55555555555556,2003
24,2004-12-31,28.111111111111107,2004
25,2005-12-31,29.88888888888889,2005
26,2006-12-31,34.05555555555556,2006
27,2007-12-31,27.333333333333332,2007
28,2008-12-31,27.055555555555557,2008
29,2009-12-31,29.61111111111111,2009
30,2010-12-31,27.333333333333332,2010
31,2011-12-31,27.22222222222222,2011
32,2012-12-31,27.444444444444446,2012
33,2013-12-31,30.944444444444443,2013
34,2014-12-31,27.722222222222225,2014
35,2015-12-31,32.72222222222222,2015
36,2016-12-31,31.88888888888889,2016
37,2017-12-31,31.666666666666668,2017
38,2018-12-31,31.333333333333332,2018
39,2019-12-31,34.388888888888886,2019
40,2020-12-31,34.666666666666664,2020
41,2021-12-31,29.666666666666668,2021
42,2022-12-31,36.94444444444444,2022
43,2023-12-31,30.61111111111111,2023
