,datetime,tempmin,year
0,1980-12-31,-5.388888888888889,1980
1,1981-12-31,-17.38888888888889,1981
2,1982-12-31,-18.22222222222222,1982
3,1983-12-31,-8.11111111111111,1983
4,1984-12-31,-3.7222222222222223,1984
5,1985-12-31,-9.055555555555555,1985
6,1986-12-31,-10.0,1986
7,1987-12-31,-10.666666666666666,1987
8,1988-12-31,-3.944444444444445,1988
9,1989-12-31,-4.555555555555555,1989
10,1990-12-31,-4.111111111111111,1990
11,1991-12-31,-8.5,1991
12,1992-12-31,-6.888888888888888,1992
13,1993-12-31,-4.666666666666666,1993
14,1994-12-31,-7.277777777777778,1994
15,1995-12-31,-7.222222222222222,1995
16,1996-12-31,-5.555555555555555,1996
17,1997-12-31,-7.888888888888889,1997
18,1998-12-31,-5.0,1998
19,1999-12-31,-8.722222222222221,1999
20,2000-12-31,-6.944444444444445,2000
21,2001-12-31,-6.0,2001
22,2002-12-31,-6.277777777777778,2002
23,2003-12-31,-6.166666666666668,2003
24,2004-12-31,-5.277777777777778,2004
25,2005-12-31,-5.888888888888889,2005
26,2006-12-31,-5.944444444444445,2006
27,2007-12-31,-5.666666666666667,2007
28,2008-12-31,-6.0555555555555545,2008
29,2009-12-31,-8.166666666666666,2009
30,2010-12-31,-12.0,2010
31,2011-12-31,-4.944444444444444,2011
32,2012-12-31,-9.722222222222221,2012
33,2013-12-31,-4.777777777777779,2013
34,2014-12-31,-4.0,2014
35,2015-12-31,-5.777777777777777,2015
36,2016-12-31,-5.555555555555555,2016
37,2017-12-31,-5.499999999999999,2017
38,2018-12-31,-6.611111111111111,2018
39,2019-12-31,-7.222222222222222,2019
40,2020-12-31,-2.7777777777777777,2020
41,2021-12-31,-6.0555555555555545,2021
42,2022-12-31,-11.055555555555555,2022
43,2023-12-31,-7.444444444444445,2023
