,datetime,tempmax,year,yearly_rolling_avg
10,2034-12-31 00:00:00+00:00,33.143200746309276,2034,32.02
11,2035-12-31 00:00:00+00:00,31.088198622647496,2035,31.71
12,2036-12-31 00:00:00+00:00,29.9168663773612,2036,31.53
13,2037-12-31 00:00:00+00:00,34.00283187809896,2037,31.84
14,2038-12-31 00:00:00+00:00,31.76711260834395,2038,31.61
15,2039-12-31 00:00:00+00:00,35.46396577536211,2039,32.43
16,2040-12-31 00:00:00+00:00,30.446877469875517,2040,32.66
17,2041-12-31 00:00:00+00:00,34.64272371341417,2041,32.93
18,2042-12-31 00:00:00+00:00,37.49475719308885,2042,33.58
19,2043-12-31 00:00:00+00:00,36.08088527475434,2043,33.4
20,2044-12-31 00:00:00+00:00,30.6880533839244,2044,33.16
21,2045-12-31 00:00:00+00:00,33.56698112026743,2045,33.41
22,2046-12-31 00:00:00+00:00,36.673339948795046,2046,34.08
23,2047-12-31 00:00:00+00:00,38.64895129069009,2047,34.55
24,2048-12-31 00:00:00+00:00,30.40172432713689,2048,34.41
25,2049-12-31 00:00:00+00:00,32.937705378758665,2049,34.16
26,2050-12-31 00:00:00+00:00,21.76262429807457,2050,33.29
