,datetime,tempmin,year,yearly_rolling_avg
10,2034-12-31 00:00:00+00:00,-4.060526888826928,2034,-4.15
11,2035-12-31 00:00:00+00:00,-3.6306432379355726,2035,-4.15
12,2036-12-31 00:00:00+00:00,-4.168424322859664,2036,-4.37
13,2037-12-31 00:00:00+00:00,-2.4646224605625378,2037,-4.31
14,2038-12-31 00:00:00+00:00,-5.465773261713025,2038,-4.02
15,2039-12-31 00:00:00+00:00,-1.7574305433735304,2039,-3.38
16,2040-12-31 00:00:00+00:00,-2.9641360475262104,2040,-3.48
17,2041-12-31 00:00:00+00:00,-5.705172391268945,2041,-3.68
18,2042-12-31 00:00:00+00:00,-3.375706731634665,2042,-3.75
19,2043-12-31 00:00:00+00:00,-3.739185591250816,2043,-3.73
20,2044-12-31 00:00:00+00:00,-3.717130473438005,2044,-3.7
21,2045-12-31 00:00:00+00:00,-2.468427635698106,2045,-3.58
22,2046-12-31 00:00:00+00:00,-6.071230087650065,2046,-3.77
23,2047-12-31 00:00:00+00:00,-4.30636044488503,2047,-3.96
24,2048-12-31 00:00:00+00:00,-2.838695509837038,2048,-3.69
25,2049-12-31 00:00:00+00:00,-2.7379704127276057,2049,-3.79
26,2050-12-31 00:00:00+00:00,-2.099404885919298,2050,-3.71
