,datetime,tempmin,year,yearly_rolling_avg
10,2034-12-31 00:00:00+00:00,-4.060526888826937,2034,-4.15
11,2035-12-31 00:00:00+00:00,-3.630643237935584,2035,-4.15
12,2036-12-31 00:00:00+00:00,-4.168424322859665,2036,-4.37
13,2037-12-31 00:00:00+00:00,-2.4646224605625355,2037,-4.31
14,2038-12-31 00:00:00+00:00,-5.46577326171299,2038,-4.02
15,2039-12-31 00:00:00+00:00,-1.7574305433735349,2039,-3.38
16,2040-12-31 00:00:00+00:00,-2.9641360475262184,2040,-3.48
17,2041-12-31 00:00:00+00:00,-5.705172391268951,2041,-3.68
18,2042-12-31 00:00:00+00:00,-3.37570673163469,2042,-3.75
19,2043-12-31 00:00:00+00:00,-3.739185591250809,2043,-3.73
20,2044-12-31 00:00:00+00:00,-3.717130473438005,2044,-3.7
21,2045-12-31 00:00:00+00:00,-2.468427635698101,2045,-3.58
22,2046-12-31 00:00:00+00:00,-6.071230087650047,2046,-3.77
23,2047-12-31 00:00:00+00:00,-4.306360444885042,2047,-3.96
24,2048-12-31 00:00:00+00:00,-2.838695509837043,2048,-3.69
25,2049-12-31 00:00:00+00:00,-2.7379704127276048,2049,-3.79
26,2050-12-31 00:00:00+00:00,-2.099404885919298,2050,-3.71
