,year,dew,10_year_rolling_avg
0,1980,8.895415907710989,
1,1981,9.452359208523593,
2,1982,8.624505327245053,
3,1983,10.338203957382039,
4,1984,9.717820279295688,
5,1985,9.343835616438357,
6,1986,10.117351598173517,
7,1987,9.498477929984778,
8,1988,9.485579842137218,
9,1989,9.187823439878235,9.4661
10,1990,8.959512937595129,9.4725
11,1991,8.92054794520548,9.4194
12,1992,10.391013964784458,9.596
13,1993,9.566057838660578,9.5188
14,1994,9.31689497716895,9.4787
15,1995,10.637595129375951,9.6081
16,1996,10.069216757741348,9.6033
17,1997,10.016894977168949,9.6551
18,1998,9.670471841704718,9.6736
19,1999,8.584779299847792,9.6133
20,2000,9.500910746812387,9.6674
21,2001,9.481735159817353,9.7236
22,2002,9.10958904109589,9.5954
23,2003,9.55814307458143,9.5946
24,2004,9.694140862173649,9.6323
25,2005,9.878538812785388,9.5564
26,2006,8.786301369863013,9.4282
27,2007,8.126179604261797,9.2391
28,2008,8.12704918032787,9.0847
29,2009,8.67123287671233,9.0934
30,2010,9.013089802130898,9.0446
31,2011,8.132420091324201,8.9097
32,2012,8.588494231936854,8.8576
33,2013,8.633637747336378,8.7651
34,2014,10.317808219178081,8.8275
35,2015,9.697564687975648,8.8094
36,2016,9.645415907710989,8.8953
37,2017,9.221461187214611,9.0048
38,2018,8.968340943683408,9.0889
39,2019,9.035007610350076,9.1253
40,2020,9.00197328476017,9.1242
41,2021,8.86773211567732,9.1977
42,2022,8.853424657534246,9.2242
43,2023,9.22496194824962,9.2834
0,2024,11.3112,9.3827
1,2025,10.3936,9.4523
2,2026,11.7918,9.667
3,2027,11.1958,9.8644
4,2028,10.5582,10.0234
5,2029,11.7448,10.2943
6,2030,12.3529,10.6294
7,2031,11.1028,10.8529
8,2032,11.452,11.1128
9,2033,11.6138,11.3517
10,2034,11.1028,11.3308
11,2035,11.9336,11.4848
12,2036,11.9453,11.5002
13,2037,11.6105,11.5417
14,2038,12.068,11.6926
15,2039,12.1114,11.7293
16,2040,12.3816,11.7322
17,2041,11.7185,11.7938
18,2042,11.7471,11.8233
19,2043,12.1894,11.8808
20,2044,11.8412,11.9547
21,2045,11.8636,11.9477
22,2046,13.0089,12.054
23,2047,12.9516,12.1881
24,2048,13.286,12.3099
25,2049,13.3216,12.431
26,2050,12.9912,12.4919
27,2051,13.8964,12.7097
28,2052,13.955,12.9305
29,2053,13.0851,13.0201
30,2054,13.0342,13.1394
31,2055,12.3722,13.1902
32,2056,12.7507,13.1644
33,2057,14.1758,13.2868
34,2058,13.701,13.3283
35,2059,13.0906,13.3052
36,2060,14.0403,13.4101
37,2061,13.0235,13.3228
38,2062,12.9889,13.2262
39,2063,13.4002,13.2577
40,2064,12.9211,13.2464
41,2065,13.338,13.343
42,2066,13.435,13.4114
43,2067,13.6844,13.3623
44,2068,12.9664,13.2888
45,2069,12.7357,13.2534
46,2070,13.7258,13.2219
47,2071,14.2029,13.3398
48,2072,14.4455,13.4855
49,2073,13.2021,13.4657
50,2074,14.9716,13.6707
51,2075,13.9372,13.7307
52,2076,14.8243,13.8696
53,2077,13.6798,13.8691
54,2078,15.6306,14.1356
55,2079,14.6823,14.3302
56,2080,14.1159,14.3692
