,year,precip,10_year_rolling_avg
10,1990,177.41899999999998,299.7886
11,1991,237.13439999999997,284.038
12,1992,321.3608,270.2992
13,1993,382.397,256.38
14,1994,274.9042,254.32
15,1995,372.23699999999997,266.921
16,1996,479.47579999999994,285.7348
17,1997,409.2956,302.9382
18,1998,631.0884,344.6755
19,1999,305.0032,359.0315
20,2000,553.1866,396.6083
21,2001,661.7461999999999,439.0695
22,2002,499.59259999999995,456.8927
23,2003,474.2942,466.0824
24,2004,407.4414,479.3361
25,2005,678.7388,509.9863
26,2006,557.3267999999999,517.7714
27,2007,302.7172,507.1135
28,2008,368.3,480.8347
29,2009,377.9774,488.1321
30,2010,449.7578,477.7892
31,2011,397.28139999999996,451.3428
32,2012,524.891,453.8726
33,2013,101.11739999999999,416.5549
34,2014,516.0264,427.4134
35,2015,183.0324,377.8428
36,2016,399.16099999999994,362.0262
37,2017,582.1934,389.9738
38,2018,393.3698,392.4808
39,2019,506.0188,405.2849
40,2020,161.62019999999998,376.4712
41,2021,541.3248,390.8755
42,2022,368.3762,375.224
43,2023,617.4485999999999,426.8572
44,2024,353.2124,410.5758
10,2024,930.663585214182,859.3399
11,2025,653.2300583740351,836.1221
12,2026,817.438899580574,837.3044
13,2027,1045.7188442016452,869.0448
14,2028,1289.3366981001047,878.6506
15,2029,1200.5488992497517,895.6752
16,2030,1243.4470993308662,967.0615
17,2031,531.7371987688697,939.3521
18,2032,971.5410384229808,929.2096
19,2033,438.6595100726348,912.2322
20,2034,696.0768339418189,888.7735
21,2035,1277.9172415507808,951.2422
22,2036,947.6053931758776,964.2589
23,2037,549.841431439372,914.6711
24,2038,883.5991877567549,874.0974
25,2039,1319.7452011041134,886.017
26,2040,1528.083526801098,914.4807
27,2041,513.1439559862243,912.6213
28,2042,1224.5591348239368,937.9231
29,2043,992.8121993375294,993.3384
30,2044,558.6509403438564,979.5958
31,2045,922.0960785288528,944.0137
32,2046,2237.929691083581,1073.0461
33,2047,732.1410833166925,1091.2761
34,2048,909.9020388381492,1093.9064
35,2049,1212.1520179677786,1083.1471
36,2050,800.5577911245538,1010.3945
37,2051,927.2688455683536,1051.807
38,2052,1063.9547239325232,1035.7465
39,2053,1241.9774221213825,1060.6631
40,2054,1159.876287685575,1120.7856
41,2055,561.9528312534745,1084.7713
42,2056,422.08989982357224,903.1873
43,2057,1137.0866444635312,943.6819
44,2058,1064.5748490074595,959.1491
45,2059,673.043286345363,905.2383
46,2060,895.5534608241485,914.7378
47,2061,1067.6651989506283,928.7775
48,2062,916.822758249435,914.0643
49,2063,1143.4842045203002,904.2149
50,2064,710.649850482532,859.2923
51,2065,974.3942220756568,900.5364
52,2066,1133.5689291555077,971.6843
53,2067,1053.4350231461165,963.3192
54,2068,943.7290092731292,951.2346
55,2069,720.5355276993944,955.9838
56,2070,1076.7624376932124,974.1047
57,2071,1324.2663881059625,999.7648
58,2072,1037.3625716191596,1011.8188
59,2073,593.7171273298757,956.8421
60,2074,791.689646554347,964.9461
61,2075,1269.5039048473031,994.4571
62,2076,938.6321442210616,974.9634
63,2077,917.5569783295588,961.3756
64,2078,1622.8578587122124,1029.2885
65,2079,1250.7152047382458,1082.3064
66,2080,661.1711900200332,1040.7473
