,datetime,tempmax,year,10_year_rolling_avg
0,1980-12-31 00:00:00,35.22222222222222,1980,
1,1981-12-31 00:00:00,31.77777777777778,1981,
2,1982-12-31 00:00:00,31.11111111111111,1982,
3,1983-12-31 00:00:00,35.27777777777778,1983,
4,1984-12-31 00:00:00,34.22222222222222,1984,
5,1985-12-31 00:00:00,33.94444444444444,1985,
6,1986-12-31 00:00:00,29.77777777777778,1986,
7,1987-12-31 00:00:00,33.0,1987,
8,1988-12-31 00:00:00,36.72222222222222,1988,
9,1989-12-31 00:00:00,33.94444444444444,1989,33.5
10,1990-12-31 00:00:00,31.88888888888889,1990,33.1667
11,1991-12-31 00:00:00,32.22222222222222,1991,33.2111
12,1992-12-31 00:00:00,30.833333333333332,1992,33.1833
13,1993-12-31 00:00:00,36.111111111111114,1993,33.2667
14,1994-12-31 00:00:00,33.05555555555556,1994,33.15
15,1995-12-31 00:00:00,34.44444444444444,1995,33.2
16,1996-12-31 00:00:00,34.333333333333336,1996,33.6556
17,1997-12-31 00:00:00,33.55555555555556,1997,33.7111
18,1998-12-31 00:00:00,32.833333333333336,1998,33.3222
19,1999-12-31 00:00:00,31.166666666666668,1999,33.0444
20,2000-12-31 00:00:00,39.77777777777778,2000,33.8333
21,2001-12-31 00:00:00,34.22222222222222,2001,34.0333
22,2002-12-31 00:00:00,34.166666666666664,2002,34.3667
23,2003-12-31 00:00:00,35.388888888888886,2003,34.2944
24,2004-12-31 00:00:00,33.611111111111114,2004,34.35
25,2005-12-31 00:00:00,32.22222222222222,2005,34.1278
26,2006-12-31 00:00:00,35.888888888888886,2006,34.2833
27,2007-12-31 00:00:00,30.555555555555557,2007,33.9833
28,2008-12-31 00:00:00,35.55555555555556,2008,34.2556
29,2009-12-31 00:00:00,33.5,2009,34.4889
30,2010-12-31 00:00:00,35.55555555555556,2010,34.0667
31,2011-12-31 00:00:00,30.833333333333332,2011,33.7278
32,2012-12-31 00:00:00,33.22222222222222,2012,33.6333
33,2013-12-31 00:00:00,32.0,2013,33.2944
34,2014-12-31 00:00:00,32.44444444444444,2014,33.1778
35,2015-12-31 00:00:00,33.72222222222222,2015,33.3278
36,2016-12-31 00:00:00,34.22222222222222,2016,33.1611
37,2017-12-31 00:00:00,38.111111111111114,2017,33.9167
38,2018-12-31 00:00:00,30.27777777777778,2018,33.3889
39,2019-12-31 00:00:00,36.111111111111114,2019,33.65
40,2020-12-31 00:00:00,38.44444444444444,2020,33.9389
41,2021-12-31 00:00:00,31.444444444444443,2021,34.0
42,2022-12-31 00:00:00,36.22222222222222,2022,34.3
43,2023-12-31 00:00:00,32.94444444444444,2023,34.3944
10,2024-12-31 00:00:00+00:00,32.49046681984088,2024,34.399
11,2025-12-31 00:00:00+00:00,32.67768443935434,2025,34.2946
12,2026-12-31 00:00:00+00:00,28.983740212543864,2026,33.7707
13,2027-12-31 00:00:00+00:00,31.988056187431596,2027,33.1584
14,2028-12-31 00:00:00+00:00,32.1403881181645,2028,33.3447
15,2029-12-31 00:00:00+00:00,33.48385136142906,2029,33.082
16,2030-12-31 00:00:00+00:00,35.167478436744595,2030,32.7543
17,2031-12-31 00:00:00+00:00,33.98968929445122,2031,33.0088
18,2032-12-31 00:00:00+00:00,29.36899315821937,2032,32.3235
19,2033-12-31 00:00:00+00:00,34.32883544899994,2033,32.4619
20,2034-12-31 00:00:00+00:00,31.155410589362653,2034,32.3284
21,2035-12-31 00:00:00+00:00,34.02608335079534,2035,32.4633
22,2036-12-31 00:00:00+00:00,33.57705215878544,2036,32.9226
23,2037-12-31 00:00:00+00:00,31.642473339197664,2037,32.888
24,2038-12-31 00:00:00+00:00,32.68360532532797,2038,32.9423
25,2039-12-31 00:00:00+00:00,32.07173077060733,2039,32.8011
26,2040-12-31 00:00:00+00:00,32.33044118513912,2040,32.5174
27,2041-12-31 00:00:00+00:00,30.114308734817296,2041,32.1299
28,2042-12-31 00:00:00+00:00,33.48702871349069,2042,32.5417
29,2043-12-31 00:00:00+00:00,30.444716595170576,2043,32.1533
