,year,precip
0,1980,491.08359999999993
1,1981,394.6398
2,1982,458.7494
3,1983,521.5889999999999
4,1984,295.5036
5,1985,246.2276
6,1986,291.33799999999997
7,1987,237.26139999999998
8,1988,213.7156
9,1989,161.4424
10,1990,177.41899999999998
11,1991,237.13439999999997
12,1992,321.3608
13,1993,382.397
14,1994,274.9042
15,1995,372.23699999999997
16,1996,479.47579999999994
17,1997,409.2956
18,1998,631.0884
19,1999,305.0032
20,2000,553.1866
21,2001,661.7461999999999
22,2002,499.59259999999995
23,2003,474.2942
24,2004,407.4414
25,2005,678.7388
26,2006,557.3267999999999
27,2007,302.7172
28,2008,368.3
29,2009,377.9774
30,2010,449.7578
31,2011,397.28139999999996
32,2012,524.891
33,2013,101.11739999999999
34,2014,516.0264
35,2015,183.0324
36,2016,399.16099999999994
37,2017,582.1934
38,2018,393.3698
39,2019,506.0188
40,2020,161.62019999999998
41,2021,541.3248
42,2022,368.3762
43,2023,617.4485999999999
