,year,dew
0,2024,11.3112
1,2025,10.3936
2,2026,11.7918
3,2027,11.1958
4,2028,10.5582
5,2029,11.7448
6,2030,12.3529
7,2031,11.1028
8,2032,11.452
9,2033,11.6138
10,2034,11.1028
11,2035,11.9336
12,2036,11.9453
13,2037,11.6105
14,2038,12.068
15,2039,12.1114
16,2040,12.3816
17,2041,11.7185
18,2042,11.7471
19,2043,12.1894
20,2044,11.8412
21,2045,11.8636
22,2046,13.0089
23,2047,12.9516
24,2048,13.286
25,2049,13.3216
26,2050,12.9912
27,2051,13.8964
28,2052,13.955
29,2053,13.0851
30,2054,13.0342
31,2055,12.3722
32,2056,12.7507
33,2057,14.1758
34,2058,13.701
35,2059,13.0906
36,2060,14.0403
37,2061,13.0235
38,2062,12.9889
39,2063,13.4002
40,2064,12.9211
41,2065,13.338
42,2066,13.435
43,2067,13.6844
44,2068,12.9664
45,2069,12.7357
46,2070,13.7258
47,2071,14.2029
48,2072,14.4455
49,2073,13.2021
50,2074,14.9716
51,2075,13.9372
52,2076,14.8243
53,2077,13.6798
54,2078,15.6306
55,2079,14.6823
56,2080,14.1159
