,year,num_days_above_80
0,2025,36.0
1,2026,26.0
2,2027,20.0
3,2028,30.0
4,2029,32.0
5,2030,30.0
6,2031,40.0
7,2032,45.0
8,2033,42.0
9,2034,45.0
10,2035,47.0
11,2036,55.0
12,2037,53.0
13,2038,44.0
14,2039,42.0
15,2040,38.0
16,2041,43.0
17,2042,32.0
18,2043,36.0
19,2044,46.0
20,2045,43.0
21,2046,48.0
22,2047,76.0
23,2048,83.0
24,2049,73.0
25,2050,75.0
26,2051,67.0
27,2052,59.0
28,2053,69.0
29,2054,78.0
30,2055,76.0
31,2056,78.0
32,2057,76.0
33,2058,80.0
34,2059,58.0
35,2060,65.0
36,2061,104.0
37,2062,97.0
38,2063,69.0
39,2064,66.0
40,2065,81.0
41,2066,74.0
42,2067,70.0
43,2068,79.0
44,2069,75.0
45,2070,100.0
46,2071,96.0
47,2072,86.0
48,2073,108.0
49,2074,112.0
50,2075,96.0
51,2076,105.0
52,2077,121.0
53,2078,114.0
54,2079,117.0
55,2080,108.0
