,datetime,tempmax,year,yearly_rolling_avg
10,2034-12-31 00:00:00+00:00,31.155410589362653,2034,32.33
11,2035-12-31 00:00:00+00:00,34.02608335079534,2035,32.46
12,2036-12-31 00:00:00+00:00,33.57705215878544,2036,32.92
13,2037-12-31 00:00:00+00:00,31.642473339197664,2037,32.89
14,2038-12-31 00:00:00+00:00,32.68360532532797,2038,32.94
15,2039-12-31 00:00:00+00:00,32.07173077060733,2039,32.8
16,2040-12-31 00:00:00+00:00,32.330441185139115,2040,32.52
17,2041-12-31 00:00:00+00:00,30.114308734817296,2041,32.13
18,2042-12-31 00:00:00+00:00,33.48702871349069,2042,32.54
19,2043-12-31 00:00:00+00:00,30.44471659517058,2043,32.15
20,2044-12-31 00:00:00+00:00,30.399810067267715,2044,32.08
21,2045-12-31 00:00:00+00:00,32.110627136506714,2045,31.89
22,2046-12-31 00:00:00+00:00,33.67412302435869,2046,31.9
23,2047-12-31 00:00:00+00:00,33.78842983729381,2047,32.11
24,2048-12-31 00:00:00+00:00,32.451578560140305,2048,32.09
25,2049-12-31 00:00:00+00:00,36.492079795826385,2049,32.53
26,2050-12-31 00:00:00+00:00,27.460673210557413,2050,32.04
